[Wed 11:03]	<manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Jun/0001.html
[Wed 11:49]	<manu>	mcavage: It's a miracle when you find a stack that does - I'm of two minds. I agree w/ what the RFC says, but based on reality, half the stuff out there doesn't work with it.
[Wed 11:50]	<dlongley>	manu: this requirement comes from a previous product in our company that was built on a streaming architecture
[Wed 11:50]	<dlongley>	manu: you could do digital signatures on the streams (as long as the implementatino does it correctly and there are plenty that aren't) and it was a fairly nice way to make things work
[Wed 11:51]	<dlongley>	manu: we don't have to make it a requirement to support trailers but implementations are not required to implement it
[Wed 11:51]	<dlongley>	manu: that would reflect reality but allow support
[Wed 11:52]	-->|	kumar___ (~kumar@c-98-220-12-84.hsd1.in.comcast.net) has joined #payswarm
[Wed 11:52]	<manu>	mcavage: So what you're saying is if you want to do this, digitally sign the header, then do continue.
[Wed 11:52]	<manu>	mcavage: Then attach signatures on the trailer.
[Wed 11:53]	<manu>	dlongley: If you want to do chunked-transfer encoding, you can do a second signature on the body. I want to make sure we don't lock people out of using the spec if they want to use it in a certain way.
[Wed 11:53]	|<--	kumar_ has left freenode (Read error: Connection reset by peer)
[Wed 11:54]	<manu>	mcavage: Not disagreeing, I buy it. I think saying "put the authorization header at the end" doesn't help. It might open up a Denial of Service attack. We could say "if you want to sign the body and use streaming uploads, you do it in two steps".
[Wed 11:55]	<manu>	dlongley: If there are people that have these sorts of interfaces, where they try to simplify things and don't want to implement buffering on one end, they have to do buffering anyway to do content-md5.
[Wed 11:55]	<manu>	dlongley: I'd like to prevent solutions that require either end to buffer the entire streaming content.
[Wed 11:56]	<manu>	mcavage: These aren't mutually exclusive.
[Wed 11:56]	<dlongley>	manu: let's just make a general issue for how to do chunked transfer encoding w/signatures
[Wed 11:57]	<dlongley>	manu: so... for replay attacks we'll need to figure out what to do about nonces
[Wed 11:57]	|<--	voip-ps has left freenode (*.net *.split)
[Wed 11:57]	|<--	dlongley-db has left freenode (*.net *.split)
[Wed 11:57]	<dlongley>	manu: some people feel that implementations become far more difficult when you require nonces (which is true) we want to ensure that these implementations are easy so they don't have to remember nonces forever, etc.
[Wed 11:57]	<dlongley>	manu: so that's one reason for discussing time-based nonces
[Wed 11:58]	<dlongley>	manu: we'll have to argue against others who simply say nonces will never work and are never implemented properly, etc.
[Wed 11:58]	<dlongley>	manu: do we want to try and tackle the nonce problem?
[Wed 11:58]	<dlongley>	manu: it sounds like (from the discussion at the beginning of the call) we want to try and tackle the problem because we'd like this spec to work over HTTP
[Wed 11:58]	<dlongley>	manu: so we'll probably be looking at time-based nonces
[Wed 11:59]	<manu>	mcavage: Are nonces MUST or MAY?
[Wed 11:59]	<dlongley>	manu: it seems like the HTTP signature spec will be blamed if we don't make a it a MUST
[Wed 12:00]	*christel*	[Global Notice] Welcome to Splitville, Population: Shrinking -- as you may have noticed the network is suffering under the strain of yet another DDoS attack, we are working with our sponsors to try curb what we can and apologise for the inconvenience.
[Wed 12:00]	<dlongley>	manu: do you feel the same way, mark?
[Wed 12:01]	<manu>	mcavage: The security purist in me totally agrees with you, but I don't think many people get it right. We're setting ourselves up to fail because of nonces.
[Wed 12:01]	<manu>	mcavage: I don't have an answer, I'm torn.
[Wed 12:01]	<dlongley>	manu: we could look at history (since it's been bad) and just do the opposite
[Wed 12:02]	<dlongley>	manu: or it could just be that nonces really just need to be required and it has to be implemented properly
[Wed 12:02]	<manu>	mcavage: There are 2-3 implementations of SSL, there may be many more clients that implement this.
[Wed 12:03]	<manu>	mcavage: There are a lot of implementation concerns here - same hellhole, how do you run this thing at scale.
[Wed 12:03]	<manu>	mcavage: If they're optional, nobody is going to do it. If they are not, we're going to get criticized for getting it wrong.
[Wed 12:04]	<bshambaugh>	... listening in, no comment for now
[Wed 12:04]	<dlongley>	manu: so we're still split on what should be done for nonces, we agree that we should specify something but we dont' know if it should be MUST or MAY
[Wed 12:04]	<manu>	mcavage: Yes, we should have a section on nonces, and decide MUST vs. MAY later on.
[Wed 12:05]	<manu>	Topic: Telecon frequency
[Wed 12:05]	<dlongley>	manu: ok, looks like we have enough work now to have telecons once a week, so we'll meet against next week to continue this discussion.
