[Wed 10:04:42] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Aug/0030.html
[Wed 10:29:53] <dlongley>	Evgeny: after a transaction has been completed you can't be sure that the information you obtained will be exactly the same afterwards as it was at the time of the txn
[Wed 10:31:14] <dlongley>	manu: That's true. It's a problem wrt. fraud, but it may also be a benefit (getting the most recent, up to date email address or shipping address for a customer).
[Wed 10:32:04] <manu>	dlongley: This sounds like you need data in the receipt and have that information only accessible to people involved in the transaction.
[Wed 10:32:16] <manu>	dlongley: This is private information that's a part of the receipt.
[Wed 10:32:34] <manu>	dlongley: We are talking about having metadata in the receipt itself, in the transaction metadata somewhere.
[Wed 10:33:32] <manu>	dlongley: We need to make sure that these receipts are private pieces of information, only accessible by private participants in the transaction. Some of the information is only available to some of the participants in the transaction.
[Wed 10:34:05] <manu>	dlongley: This use case is really about two things - you can store metadata that is directly related to the transaction in the digital receipt, and you can indicate who is allowed (of the participants in the transaction), who can see what pieces of information.
[Wed 10:35:41] <manu>	dlongley: I think the original design was to leave as much as possible out of digital receipt as possible.
[Wed 10:36:04] <manu>	dlongley: in one case, the information is in the digital receipt, in other cases, it's not.
[Wed 10:36:39] <manu>	manu: It's the latter, there are pointers, the information lives elsewhere.
[Wed 10:40:19] <manu>	Given the permission of the participants (payer, payee, buyer, merchant) of a transaction, the transaction metadata can be used to discover additional attributes associated with those participants. For example, given the buyer's authorization, a merchant could query the identity URL for the buyer contained in a digital receipt and obtain an up-to-date shipping address.
[Wed 10:42:12] <manu>	dlongley: Another example could be a merchant querying the identity for an up-to-date email address. Keep in mind that this can always be done before the fact, as a part of the login process to the website. The login process would ask for an email credential, shipping address credential, etc.
[Wed 10:44:00] <dlongley>	Evgeny: allowing a change to the shipping address after the transaction was made could affect fraud or sales tax, etc
[Wed 10:45:44] <manu>	dlongley: Yes, this is an issue. We should make this clear - obtaining information after the fact might have regulatory and fraud implications.
[Wed 10:47:34] <dlongley>	Topic: Digitally Verifiable Credentials (KYC)
[Wed 10:47:34] <dlongley>	Dlongley: the next use case: "Use Case: Digitally verifiable credentials such that a merchant and payment processor involved in a transaction can prove that they have performed the proper due diligence when identifying the payer and the payee (KYC)."
[Wed 10:47:49] <dlongley>	dlongley: this, again, falls under the previous resolution
[Wed 10:47:58] <dlongley>	dlongley: for pushing this off to the credentials CG
[Wed 10:49:06] <dlongley>	manu: once we go over these use cases we'll send them over to the credentials CG
[Wed 10:49:18] <manu>	Topic: IdP Mechanism
[Wed 10:49:18] <manu>	So, this one is next - Use Case: Use an existing, widely deployed identity provider mechanism (i.e. OpenID Connect) to integrate with the digital credentials sharing and payments initiation process.
[Wed 10:49:29] <manu>	input from Steven Rowat: would the 'existing, widely deployed' mechanism be part of the specification and go through the same W3C process, and end up being a supported (necessary? sufficient?) part of the whole mechanism? Or is it implied that the i.d. provider mechanism would remain outside the W3C process, which would nonetheless be designed as a socket for it? Or would the payment mechanism have a socket that could fit any number of identity provider mechanisms, without prejudice, but this one is being specified so that there will at least be one example that works for sure? If so, are there downsides to this? For instance, are there other provider or potential provider mechanisms whose developers will be annoyed by being passed over? Or, are there yet-to-be imagined mechanisms that might be better than the chosen existing one, potential mechanisms which will now fail to be developed because one has been already blessed by (association with) the W3C? 
[Wed 10:50:41] <dlongley>	manu: re: part of w3c, openID connect has already gone through some other standardization process, so no need to discuss that, if we go with identity credentials, that will have to be a part of the Credentials CG work.
[Wed 10:51:18] <dlongley>	manu: re: would IDP be outside w3c? if it's identity credentials it's inside w3c, if it's openID connect it's outside
[Wed 10:51:58] <dlongley>	manu: re: specifying the tech ... yes, we have to specify the tech in a way that IDP mechanisms can be pluggable, if they fail, we need a way to have a mechanism establish a URL so that the rest of the stuff can stick together. The payment stuff depends on there being a URL.
[Wed 10:52:16] <dlongley>	manu: whether it's openID connect, IC stuff, or something else, it's up in the air
[Wed 10:52:22] <dlongley>	manu: re: downsides? yes, depending on which way we go
[Wed 10:53:00] <dlongley>	manu: if IC is selected, openID connect people could be fairly pissed off about it, if openID connect is selected then IC will be annoyed as it doesn't have third-party digital signatures, JSON-LD, etc.
[Wed 10:53:10] <dlongley>	manu: we are saying that IC spec is going to support openID connect in some way
[Wed 10:53:13] <dlongley>	manu: so we get best of both
[Wed 10:53:58] <dlongley>	manu: re: can we imagine something better ... we don't know how successful any of this will be, it's an open question, if both fail there will be a better mechanism eventually, we want to make the payments stuff fairly agnostic for how you establish and query the identity URL
[Wed 10:54:08] <dlongley>	manu: that said, i don't think that there are any changes to the use case
[Wed 10:54:14] <dlongley>	manu: these are just clarifying questions
[Wed 10:54:54] <manu>	dlongley: We could try to decouple and abstract identity away as much as possible. So, one could use whatever solution that wins in the identity space.
[Wed 10:55:32] <manu>	ok, so, Decouple and abstract identity away as much as possible. So, one could use whatever solution that wins in the identity space. No change required for the use case, clarifications have been made on the mailing list and telecon.
[Wed 10:55:54] <manu>	Topic: Truly Anonymous Transactions
[Wed 10:55:54] <manu>	next use case: Enable anonymous transactions such that the identity of the payee is not discoverable by payees, merchants, or payment processors.
[Wed 10:56:12] <manu>	input from Steven Rowat: Do you mean 'but can be discoverable by governments or law enforcement when they have appropriate authorization'?  If so, +1, but I think it would be best to include that explicitly. 
[Wed 10:58:02] <manu>	dlongley: i don't see how that could be done, where payees, merchants, and payment processors can't know who you are... but governments can?
[Wed 10:59:55] <manu>	manu: The government could assign an identity token where they can only tie it back to the citizen.
[Wed 11:00:12] <manu>	dlongley: I meant, I don't see how this could be feasibly done.
[Wed 10:59:54] <dlongley>	Evgeny: we have to keep in mind governments usually make the payment service providers responsible for ensuring that the identity can be linked back to a citizen, gov't doesn't do KYC clearing by themselves
[Wed 10:59:54] <dlongley>	manu: Yes, good point Evgeny.
[Wed 11:03:25] <manu>	dlongley: If you want to use some sort of cryptocurrency that supports this, you should use that. This doesn't have to be a part of the standardization process.
[Wed 11:03:51] <dlongley>	manu: the purpose is to have a cash equivalent
[Wed 11:05:23] <manu>	dlongley: I don't think the technologies are worked out for truly anonymous transactions. For example, bitcoin is traceable, zerocash is better, but still being researched.
[Wed 11:05:52] <manu>	Ok, so position on this is: We do not believe that this is a version 1 feature because the technology to achieve it is still being actively researched and developed.
[Wed 11:06:13] <manu>	dlongley: Bitcoin is far more anonymous than other mechanisms, but it doesn't fully achieve the fully anonymous goal.
[Wed 11:06:17] <voip-wp>	Evgeny (SIP/sip2sip.info-00000034) has left the conference.
[Wed 11:06:54] <voip-wp>	Dave Longley (SIP/6002-00000032) has left the conference.
[Wed 11:06:55] <voip-wp>	Manu Sporny (SIP/6000-00000031) has left the conference.
[Wed 11:06:58] <voip-wp>	Dave Lehn (SIP/6003-00000033) has left the conference.
