[Wed 10:04:00] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Oct/0102.html
[Wed 10:50:54] <m4nu>	Topic: W3C TPAC - Web Payments IG Agenda
[Wed 10:50:59] <m4nu>	https://www.w3.org/Payments/IG/wiki/Draft_F2F_Agenda_-_TPAC_2014_-_27/28_October_2014#Day_1_.28October_27.29
[Wed 10:52:54] <pindarhk>	Any remote participation or recording ?
[Wed 10:52:58] <dlongley>	m4nu: The agenda isn't ideal -- it's not what the CG would have done anyway -- but understandable that they kind of have to set up the agenda in this way. They are assuming that 50-60% of the people in the room will be very new to the work. They won't know what's going on and didn't come to Paris workshop. Day one will be about bringing them up to speed, talking about the charter, etc. We'll be introducing to the CG. We're going to talk about related work with NFC, Web Crypto, etc. Then we'll talk about standards outside of W3C, eg: ISO 20022.
[Wed 10:53:18] <dlongley>	m4nu: ISO 20022 can be reused definitely, other specs we'll see, etc.
[Wed 10:53:33] <dlongley>	m4nu: Then at 5pm the wallet discussion will begin.
[Wed 10:53:48] <dlongley>	m4nu: We can redesign the day 2 agenda after day 1 after we see how it went.
[Wed 10:54:10] <dlongley>	Jorge: What are you going to talk about regarding "wallets" at 5pm?
[Wed 10:54:29] <dlongley>	m4nu: We're not sure. I believe it's going to be a disaster :). All about terminology.
[Wed 10:54:38] <dlongley>	m4nu: Any member can say something there, we'll just see what happens.
[Wed 10:55:28] <dlongley>	m4nu: Joerg is the one talking about wallets, he's been participating in the credentials CG calls, so I think he'll structure it in a way that makes sense, but the possibility for it to get side tracked is very high. So the people from the CG need to help make sure we help bring the discussion back in line so we don't get lost.
[Wed 10:55:58] <dlongley>	pindar: I actually slightly disagree with Manu with the CG chiming in, sometimes it helps for self-realization to work.
[Wed 10:56:07] <dlongley>	pindar: That this terminology discussion is a rat hole.
[Wed 10:56:43] <dlongley>	m4nu: We sort of tried that before, but after 3 hours of discussion we lost that time. Then we'll have to have that discussion all over again. Your point is very good -- there's no other way to get through this than to have the group have the realization.
[Wed 10:57:36] <m4nu>	dlongley: One problem with letting them come to the self-realization is that they may come to the wrong conclusion - digital wallets are too difficult, there's nothing we can standardize here yet. We don't want that.
[Wed 10:57:53] <dlongley>	pindar: Could you add a point about that to the slides?
[Wed 10:57:59] <m4nu>	pindar: We should make it clear that concrete progress can be made, maybe put it in the slides.
[Wed 10:58:03] <dlongley>	pindar: That the CG has come to the conclusion that concrete progress can be made.
[Wed 10:59:15] <dlongley>	m4nu: We're going to be in the room at the AC meeting.
[Wed 10:59:18] <pindarhk>	Where is Manu going to be during that time?
[Wed 11:00:19] <dlongley>	m4nu: During 11am-3pm, I'll be in the Web Payments room, in the Credentials CG. The entire time I'll be in the room.
[Wed 11:00:39] <pindarhk>	Please note next year's date for the IGF won't prob. coincide with the TPAC 2015
[Wed 11:00:57] <dlongley>	m4nu: The CG has done a great job prepping for TPAC I think we're in great shape. If anyone wants to change the message, add a point to the slide, etc. We'll integrate.
[Wed 11:01:19] <pindarhk>	Great to have the IRC channel
[Wed 11:01:56] <dlongley>	m4nu: One final note, the TPAC IRC channel will be announced next week. There will be a scribe, everything will be minuted at TPAC, those minutes will be public. You can follow along in the IRC channel or wait for the minutes to come out. I will warn people that W3C minutes won't be as clean as those we do here, they may be hard to follow. But they may spend some time cleaning them up.
[Wed 11:02:02] <dlongley>	m4nu: Any other concerns?
[Wed 11:02:15] <dlongley>	pindar: Keep the next year's IGF, etc. in mind.
[Wed 11:02:21] <dlongley>	m4nu: The call for next week is canceled because of TPAC.
[Wed 11:02:25] <pindarhk>	Sorry to miss it! Thanks for your effort everyone... have a great meeting!
[Wed 11:02:27] <dlongley>	m4nu: Thanks everyone!
[Wed 11:02:27] <taaz>	bye!
[Wed 11:02:41] <voip-wp>	Dave Longley (SIP/6002-00000030) has left the conference.
[Wed 11:02:42] <voip-wp>	Manu Sporny (SIP/6000-0000002c) has left the conference.
[Wed 11:02:44] <voip-wp>	Pindar (IAX2/diamondcard-12984) has left the conference.
[Wed 11:02:44] <voip-wp>	dlehn (SIP/71.197.0.193:5060-0000002e) has left the conference.
[Wed 11:02:48] <voip-wp>	Jorge (IAX2/diamondcard-377) has left the conference.
