[Fri 16:06]	<manu-db>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2012Feb/0009.html
[Fri 16:45]	<taaz>	manu-db: Web Payments 1.0 - with basic transaction support, decentralized settlement algorithm, and data portability.
[Fri 16:45]	<taaz>	manu-db: Web Commerce 1.0 - how to sell digital content on the web - assets, listings, contracts, receipts, etc.
[Fri 16:46]	<taaz>	manu-db: Payment Intents 1.0 - how to do crowd-funding, etc.
[Fri 16:46]	<taaz>	manu-db: The specs are built on top of each other. They can be developed and standardized on their own timeframes - Web Keys, Web Payments lead... Web Commerce next... then Payment Intents.
[Fri 16:47]	<taaz>	pelleb: Congratulations on the split, it is the right thing to do.
[Fri 16:48]	<taaz>	manu-db: Thank you. I think we started out with fairly rocky arguments - glad you stuck it out Pelle and kept fighting for it. I think we're all better off for it. I hope it's a clear sign that we do listen and want what's best for the Web, payments and these specs. Thanks for arguing for that change... I don't think we would have made the change this soon had you not argued as strongly as you did.
[Fri 16:48]	<manu-db>	The Web Payments 1.0 spec: http://payswarm.com/specs/ED/web-payments/2012-01-30/
[Fri 16:48]	<taaz>	manu-db: Section 4.2 specifies how Transactions happen - basic transfer of money from one place to the next. You take a JSON transaction and HTTP POST it to a transaction endpoint to move money. Pretty simple and straight forward. The decentralized settlement process is also there - if source and destination account exist on different authorities - how do you make sure electronic bookkeeping stays in sync. This is about ensuring that the decentralized system does not require human intervention.
[Fri 16:50]	<taaz>	manu-db: How do you make the transaction atomic between decentralized systems. The algorithm has to be resistant to failure - has to be atomic. The algorithm outlined is a decentralized settlement algorithm. Any questions?
[Fri 16:51]	<manu-db>	scribe: manu-db
[Fri 16:51]	<manu-db>	Pelle: I think eventually, Decentralized Settlement would make more sense in a separate specification. It's an important aspect, there are a lot of different ways it can be done. Does PaySwarm require decentralized settlement for the base level spec?
[Fri 16:51]	<manu-db>	Manu: Right now, yes, decentralized settlement is required. The concern is that a large payment processor would implement the spec such that they don't interoperate with other payment providers. Counter-argument is that they wouldn't implement PaySwarm if they didn't want to interoperate. The counter-counter argument to that is that if PaySwarm is successful, implementers would only implement things that would benefit them and not the parts that would create competition for them. By and large, many corporations believe that interoperability in their core business leads to stronger competition and corporations don't like that. They tend to favor monopolies rather than even playing fields. The short answer is: Yes, decentralized settlement is required. We may end up being out-voted at W3C - Google, Amazon, PayPal may feel that they don't want decentralized settlement in there. Make sense?
[Fri 16:56]	<manu-db>	Pelle: My main two objections to having the decentralized settlement algorithm in there: 1) There has to be some trust relationship between authorities (this is really important - it's a complicated issue)
[Fri 16:56]	<manu-db>	Pelle: I think Melvin's Web Credits shows how to build a Web of Trust, good start to solving this issue. However, that is a separate issue to doing just a simple payment. This is why we're indifferent to the types of assets we're transferring in OpenTransact. It limits us to national currencies or one or two alternative currencies - there has to be a trust infrastructure for each alternative currency.
[Fri 16:57]	<manu-db>	Pelle: So, 2) It limits us to national currencies or one or two alternative currencies.
[Fri 16:57]	<manu-db>	Pelle: For example - w/ OpenTransact - you could use it to transfer Domains, you could use it for Shares, you could use it for non-traditional money. It could be a local community currency - it wouldn't make any sense to have a decentralized settlement process.
[Fri 16:58]	<manu-db>	Pelle: So, for example - Coconut Grove Currency - whole idea is to be local.
[Fri 17:02]	<manu-db>	Pelle: If you require Decentralized Settlement, it limits it because (I understand the reasons - we don't want a PayPal to just sit and operate as an island) - then we need to make that a separate... have people opt-in.
[Fri 17:02]	<manu-db>	Manu: Not enough language in the spec to get this right now - we do support alternative currencies - you can use any ISO currency code, or you can use an IRI as the currency. If you use an IRI, that IRI can mint new units of currency. If one Authority wants to use the IRI currency, the other Authority doesn't have to accept it. The decentralized algorithm doesn't always have to succeed. You would expect it to always succeed for USD, Euro, Yuan, etc. However, you wouldn't always expect it to work for alternative currencies. Maybe it /would/ work for alternative currencies... maybe local currencies stay local if they have a flag. What I'm saying is that there is no requirement that every authority has to accept every currency. You're right - there are some currencies where it doesn't make sense for it to be decentralized.
[Fri 17:02]	<manu-db>	Manu: We're out of time for today. I'll send out a link to a poll to decide on a time. We'll try to clean up language in Web Keys and Web Payments specs. Any other comments before we get off of the phone?
[Fri 17:03]	<manu-db>	Pelle: One quick comment - are you really married to the "source" and "destination" parameter names?
[Fri 17:03]	<manu-db>	Manu: We like them, but not married to them. Everything is fairly malleable during the demo period, once we launch a commercial system, we would really not like to change those. One of the nice things about JSON-LD is that you don't always have to use 'source' and 'destination', you could use 'to' and 'from'.
[Fri 17:03]	<manu-db>	Pelle: What about "to" and "from"? Make it more human. It's shorter. Let's try to keep these things simple. For example: memo vs. note. We should try to map between OpenTransact and PaySwarm.
[Fri 17:04]	<manu-db>	Pelle: We could create some level of compatibility between Web Payments and OpenTransact.
