[Tue 14:01]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2012Aug/0021.html
[Tue 14:12]	<manu1>	manu: I don't think that budgets are a part of the specs now.
[Tue 14:13]	<manu1>	dlongley: Yes, not a part of the spec right now, two different PAs don't have to support budgets for this to work. Vendors don't have to know about this existing. If you're a client talking to your PA knows about budgets, it could use them.
[Tue 14:14]	<manu1>	Topic: Status Update on PaySwarm Alpha 4 release
[Tue 14:14]	<dlongley>	manu: yeah, we might want to have some spec text in there.
[Tue 14:14]	<manu1>	http://lists.w3.org/Archives/Public/public-webpayments/2012Aug/0016.html
[Tue 14:14]	<dlongley>	manu: last week we (Digital Bazaar) made a release of the reference implementation ... we had to do a quick release to fix a couple of bugs for Melvin for working on a web app demo
[Tue 14:15]	<dlongley>	manu: we also fixed a few other things and updated our release system to make releases quicker
[Tue 14:15]	<dlongley>	manu: we haven't decided what the release cycles are going to be just yet
[Tue 14:15]	<manu1>	dlongley: Once we stabilize a little more, we can start looking at more scheduled releases. Now it's just based on features/bug fixes as they come through.
[Tue 14:16]	<dlongley>	manu: we also tightened some security, and are using AngularJS for some of the UI now
[Tue 14:16]	<dlongley>	manu: we fixed some bugs that occurred during vendor registration
[Tue 14:17]	<dlongley>	manu: we added some labels for voided/pending transactions, and we cleaned up the deposit UI a bit, fixed general UI bugs, we changed the i18n framework a bit to better support it in the future as needed, the financial activity links were updated to better show/handle your transaction activity in your financial accounts
[Tue 14:18]	<dlongley>	manu: we added ACL for transactions and accounts
[Tue 14:18]	<dlongley>	manu: so we wanted to make sure that people involved in transactions could see what they were involved in without seeing other details like what other people were paid, etc.
[Tue 14:19]	<dlongley>	manu: vendors/customers can see all of the details
[Tue 14:19]	<dlongley>	manu: we added email notifications for purchases and the links in those emails should work now and show the transaction details if you're logged in
[Tue 14:20]	<dlongley>	manu: we're now working on adding the ability to register bank accounts, etc -- these and a few others are the last changes that we're working on before we do a commercial release of the software
[Tue 14:20]	<manu1>	Topic: HTML5 Web Apps demo details
[Tue 14:20]	<dlongley>	manu: Melvin sent an email to the mailing list saying he set up a wordpress demo and will be getting that working soon
[Tue 14:21]	<dlongley>	manu: we plan to create another type of demo for melvin... a website with a few web apps (eg: games/productivity app or something) on the landing page
[Tue 14:21]	<dlongley>	manu: and when you click on them, you can purchase access to those web apps
[Tue 14:21]	<dlongley>	manu: and then the website will let you use that application
[Tue 14:21]	<dlongley>	manu: this will be similar to apple store/android store
[Tue 14:22]	<dlongley>	manu: and we also plan to demonstrate in-app payments
[Tue 14:22]	<dlongley>	manu: which will require using the budgeting feature
[Tue 14:22]	<dlongley>	manu: to do background purchases ... (without site-redirection)
[Tue 14:23]	<manu1>	dlongley: All of the back-end code for background purchases are implemented. We're using this in the payswarm.js demo - there is no re-direction when you make the purchase via the client. If you omit the source account, and there is a budget, if the signature is by a vendor that matches the listing and budget, the purchase is allowed.
[Tue 14:24]	<manu1>	dlongley: That is, I would think that we have some spec text on this, but I don't think we related it directly on how you do background purchases. How that gets implemented on the PaySwarm Authority side is implementation specific. You need to be able to support a signed purchase request holding the identity of the person doing the purchase request, just not their information.
[Tue 14:25]	<dlongley>	manu: did we make a decision on whether or not it has to come from the vendor?
[Tue 14:25]	<dlongley>	manu: could a vendor say "I'm going to do an auto-purchase for a madonna CD for the client?"
[Tue 14:27]	<manu1>	dlongley: Right now, we're going to require an association between the vendor and the listing, and is the one that is making the purchase request. If we don't do that, someone else could come in and make multiple purchase requests on somebody else. A buyer trusts the vendor and only the vendor's listings are going to be purchased using the budget that is setup for the vendor.
[Tue 14:27]	<dlongley>	manu: so the vast majority of the code we need is there, there may be bug fixes ,etc.
[Tue 14:28]	<dlongley>	manu: so the next step is creating a github repo, probably doing this in node.js express, etc.
[Tue 14:28]	<dlongley>	taaz: Is Melvin just using the WordPress plugin for now? Is there public code yet?
[Tue 14:28]	<dlongley>	manu: Yes, I believe so, no code yet.
[Tue 14:28]	<manu1>	dlongley: Yeah, most of the code is there, we just need to setup the demo code and integrate with PaySwarm.
[Tue 14:29]	<manu1>	manu: What's the timeline for this?
[Tue 14:29]	<manu1>	dlongley: As we have spare cycles... we have lots of other work to do.
[Tue 14:29]	<dlongley>	manu: I'll ping Melvin about this, we have until something like november at the very latest (technical plenary he is attending is then)
