[Tue 21:34:44] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jun/0039.html
[Tue 21:54:44] <m4nu>	dlongley: So, we need to change some of this text to make it a use case
[Tue 21:55:00] <m4nu>	dlongley: A user joins a website and makes a purchase without having to register an account.
[Tue 21:55:16] <m4nu>	dlongley: A user goes to a website and makes a purchase without having to register an account.
[Tue 21:55:51] <mediaprophet>	could be sending a micropayment like ‘tipjar’
[Tue 21:56:06] <m4nu>	dlongley: If you're buying something that doesn't have any age requirements, and is a digital good, you would probably not need to transmit much of anything, maybe just the identity URL.
[Tue 21:56:27] <dlongley>	"Use Case: Transact with a merchant without revealing any identifying information. Identifying information is available to the payment processor."
[Tue 21:56:57] <mediaprophet>	+1
[Tue 21:56:58] <pindar> Nice
[Tue 21:57:05] <pindar> +1
[Tue 21:57:07] <m4nu>	dlongley: We already have that as a use case.
[Tue 21:58:20] <voip-ps>	Pindar Wong (SIP/getonsip.com-00000110) has left the conference.
[Tue 21:58:26] <mediaprophet>	is the difference between the two; about the ability to simply buy the goods, and not create a ‘loyalty relationship'..
[Tue 21:58:30] <m4nu>	dlongley: So, you might still send them information, but you don't have to send them information as a part of the purchase process.
[Tue 21:58:30] <pindar> I should have mentioned this earlier but please keep in view the Creative Commons community w.r.t. the proof of concept
[Tue 21:58:45] *	dlongley pindar bye, thanks!
[Tue 21:58:46] <mediaprophet>	great note...
[Tue 22:00:47] <m4nu>	dlongley: You don't have to go through a process where you establish an account on this site. That's really what this use case is about. You're able to make the purchase without creating that "loyalty use case".
[Tue 22:01:47] <m4nu>	dlongley: Whether or not the merchant wants to store anything about their identity should not be of concern to the customer.
[Tue 22:01:58] <mediaprophet>	two parts of creating an account (traditionally) for websites. 1. fulfillment requirements - tracking the order (could be done via a URI, stored on a RWW server elsewhere); 2. creating a loyalty relationship
[Tue 22:03:10] <m4nu>	Right, so we don't want to do #2 above (in this use case), just #1
[Tue 22:03:21] <mediaprophet>	traditionally data is stored within the site’s CMS.
[Tue 22:03:49] <m4nu>	dlongley: The customer doesn't have to register or acknowledge that any account has been created. They can fulfil their purchase without having to do any of that.
[Tue 22:04:41] <mediaprophet>	to store transaction details in a distributed way as to support the forfillment of a transaction without requiring the establishment of a loyalty relationship
[Tue 22:05:25] <mediaprophet>	i think that’s user-definable.
[Tue 22:05:52] <mediaprophet>	a user may select a ‘persona’ in which to present identity (for loyalty purposes) to the merchant.
[Tue 22:06:05] <mediaprophet>	if the user decides to use the same persona - then the merchant can track it
[Tue 22:06:27] <m4nu>	dlongley: The customer goes to a merchant website and clicks a buy button and completes the purchase without having to go through any registration process. They also don't have to remember any information to buy anything else on the website and the merchant will be able to remember the customer when they return to the website (via some unique identifier associated with the customer)
[Tue 22:10:12] <m4nu>	dlongley: Tim said, you could have a single identity document with multiple personas associated with it, identifiers that are credentials, and you could share different credentials w/ the merchant. You chose what to release to track their purchasing behavior.
[Tue 22:10:37] <mediaprophet>	"a user may select a ‘persona’ in which to present identity (for loyalty purposes) to the merchant"
[Tue 22:11:27] <mediaprophet>	i think the implicit requirement is that the identifier is a URI; not a database entry of a customers details (primarily)
[Tue 22:12:45] <mediaprophet>	+1
[Tue 22:12:47] <m4nu>	The customer goes to a merchant website and clicks a buy button to complete a purchase without having to go through any registration process. During the purchase the customer chooses which information to share with the merchant which the merchant then uses to uniquely identify the customer if they perform any repeat purchases.
[Tue 22:13:10] <mediaprophet>	+1
[Tue 22:15:26] <m4nu>	Topic: Scalable Whitelisting
[Tue 22:15:33] <dlongley>	m4nu: scalable whitelisting came about as part of the Mozilla payments stuff
[Tue 22:15:59] <m4nu>	This is what we have right now: Whitelisting of parties - users, merchants, payment providers without scalability / anti-compete issues.
[Tue 22:16:31] <dlongley>	m4nu: the way mozilla ended up implementing their payments API in the first iteration was that they just whitelabeled the companies that could initiate the payments UI...clearly taht does not sclae
[Tue 22:16:46] <dlongley>	m4nu: you can't have the browser manufacturers, google, paypal, etc. deciding who gets to use the payments API and who doesn't
[Tue 22:17:09] <dlongley>	m4nu: the counter-argument is that if you open up this to anyone, you end up with phishing/criminal sites taking advantage of people
[Tue 22:17:38] <dlongley>	m4nu: discussions about mitigating that ... make sure payments UI is user initiated, but even that can be phished, etc.
[Tue 22:18:23] <dlongley>	m4nu: we came up with one proposal initially, which was that when you go with a payments service, you can have an API that allows that service to register as a payments provider, then that provider has to be used you can't just guess who the customer's payment provider is
[Tue 22:18:33] <dlongley>	m4nu: so the site you go to when you try to make a payment is set in the browser
[Tue 22:18:51] <dlongley>	m4nu: we would have a whitelist of all the payment providers that you have said previously that you're ok to do payments through
[Tue 22:19:08] <dlongley>	m4nu: Mozilla was pretty adamant about the whitelisting service as it would prevent a lot of fraud for them
[Tue 22:19:23] <mediaprophet>	Many  of these sorts of issues relate to identity
[Tue 22:19:27] <dlongley>	m4nu: we don't know what the full fraud ramifications are for the tech ... because we don't know what the tech will be, we are just going for use cases, we don't know what the final thing will be
[Tue 22:19:39] <dlongley>	m4nu: all that to say is that we can't easily say exactly what this whitelist should be or if we even need it
[Tue 22:19:42] <mediaprophet>	x509 certs 
[Tue 22:20:27] <m4nu>	dlongley: Let's talk about what this particular use case is about... make sure a user trusts a payment processor. Make sure it's a payment processor that they trust and has been someone that they've previously registered with.
[Tue 22:21:06] <dlongley>	mediaprophet: from a user perspective, the way WebID+TLS functions is providing distinguishable [missed] documents into [missed] one of the simple [missed] would be whether or not the [missed] has a relationship to the user [missed]
[Tue 22:21:33] <mediaprophet>	WebID-TLS creates a user certificate, with a subjectAltName URI
[Tue 22:21:43] <mediaprophet>	if that URI described a machine, with a location; 
[Tue 22:21:52] <mediaprophet>	and the identity linked to that certificate - as a known entity.
[Tue 22:22:20] <dlongley>	m4nu: i think this use case has more to do with the customer trusting the payment processor rather than the merchant trusting the customer
[Tue 22:22:49] <dlongley>	m4nu: i think this case has more to do with whether or not you trust the merchant you're going to do business with or the payment processor you're going to do business with 
[Tue 22:23:11] <dlongley>	m4nu: the thing Mozilla was concerned with was "how do you trust the dialog that asks you to pay"
[Tue 22:23:21] <dlongley>	m4nu: to ensure it's coming from your payment processor, not something trying to steal your information
[Tue 22:23:35] <mediaprophet>	I imagine the merchant’s certificate might distinguish the claim?
[Tue 22:23:41] <mediaprophet>	mind; use-case, not iterative method...
[Tue 22:23:47] <mediaprophet>	so; what’s the use-case.
[Tue 22:24:58] <dlongley>	m4nu: [missed] merchant certificate might have problems for a single domain with lots of merchants (eg: ebay)
[Tue 22:25:01] <mediaprophet>	gets tricky.  lots of applications...
[Tue 22:25:33] <dlongley>	m4nu: i think this use case has to do mainly with making sure that the UI you're looking at is from your payment processor
[Tue 22:25:36] <mediaprophet>	sounds reasonable....
[Tue 22:26:06] <mediaprophet>	the classic example might be the spam email you get from ‘your bank'
[Tue 22:26:41] <mediaprophet>	this goes to the legality of the transaction.  It’s an identity use-case
[Tue 22:27:15] <mediaprophet>	also goes to intention.  did the parties intend to make a transaction with each-other for the specified amount, upon the specified tersm
[Tue 22:27:17] <mediaprophet>	terms
[Tue 22:28:26] <mediaprophet>	is this the ability to provide a secured payment claim from a known entity.
[Tue 22:29:06] <m4nu>	So the use case is: A customer goes to a website and is presented with a payment UI from their payment processor. The UI is displayed in such a way as to guarantee that there is no information that can be phished from the customer.
[Tue 22:29:59] <mediaprophet>	consent from a trusted source
[Tue 22:30:00] <m4nu>	So the use case is: A customer goes to a website and is presented with a payment UI from their payment processor. The purchase can be completed without any additional information from the customer other than their consent to complete the purchase.
[Tue 22:30:37] <mediaprophet>	so - you present me with a payment claim
[Tue 22:30:47] <mediaprophet>	my system comes-up, says you’ve got a payment claim.  
[Tue 22:30:51] <mediaprophet>	did i intend to pay you.
[Tue 22:30:57] <mediaprophet>	i agree.
[Tue 22:30:59] <mediaprophet>	vs. 
[Tue 22:31:01] <mediaprophet>	you have website
[Tue 22:31:10] <mediaprophet>	your website says, pay me.
[Tue 22:31:18] <mediaprophet>	perhaps i still don’t know the real owner of the website.
[Tue 22:32:12] <m4nu>	dlongley: This use case isn't about whether or not you trust the merchant... it's about whether or not you trust the dialog presented by your payment processor.
[Tue 22:32:47] <mediaprophet>	 +1
[Tue 22:32:51] <m4nu>	Ok, so we're using this: A customer goes to a website and is presented with a payment UI from their payment processor. The purchase can be completed without any additional information from the customer other than their consent to complete the purchase.
[Tue 22:33:08] <m4nu>	dlongley: and the reason is that we don't want the merchant to phish any secret information from you. 
[Tue 22:33:08] <m4nu>	Ok, that's all the time we have for today. Thanks for the call everyone, we'll chat next week.
[Tue 22:36:34] <voip-ps>	Dave Longley (SIP/6002-0000010e) has left the conference.
[Tue 22:36:34] <voip-ps>	msporny (SIP/192.168.2.6-0000010c) has left the conference.
[Tue 22:36:44] <voip-ps>	dlehn (SIP/50.134.65.129:5060-0000010d) has left the conference.
