[Wed 11:05]	<m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2013Aug/0032.html
[Wed 11:18]	<m4nu>	You might take a look at the Product Ontology - http://www.productontology.org/ which has stuff like: pto:WebPage pto:Shovel pto:CinderBlock lots of things you could augment Asset with.
[Wed 11:19]	<dlongley>	m4nu: ok, great progress andrei, we can discuss after the call getting stuff onto the VM, etc.
[Wed 11:20]	<voip-ps>	Andrei Oprea (SIP/sip.freecall.com-00000029) has left the conference.
[Wed 11:20]	<m4nu>	Topic: Project Watershed
[Wed 11:20]	<voip-ps>	Andrei Oprea (SIP/sip.freecall.com-0000002a) has joined the conference.
[Wed 11:20]	<m4nu>	https://docs.google.com/document/d/18blKvUX5t-lBNCsbgnsJQsFCZi-76-I-cWcwO1_atUg/edit?usp=sharing
[Wed 11:21]	<dlongley>	m4nu: so Adam sent an email to the web payments mailing list about project watershed and gave a talk at the bitcoin conf about it, so give us an overview
[Wed 11:22]	<dlongley>	AdamBLevine: the basics ... the point of what i'm trying to do is to build an open source and free platform that is agnostic in the way a wordpress install would be, but i would build on top of crypto stuff for frictionless payments, where lots of other currencies (non-bitcoins) require you to go through a lot of hoops to buy things, bitcoin doesn't require that
[Wed 11:22]	<dlongley>	AdamBLevine: with bitcoin you can just generate new addresses for every purpose you want
[Wed 11:23]	<dlongley>	AdamBLevine: we're looking at tech for a hierarchical key management to fix some of the technical problems here
[Wed 11:24]	<dlongley>	AdamBLevine: instead of having a banner on a webpage/billboard on side of the road, the process in order to buy something by clicking on something like this ... if you're on a webpage to consume content you are much less likely to use one of the advertisers there simply because it's asking you to click somewhere and leave, it's a disruptive act, so sites where you were already planning to leave get more success from this method, but if you didn't want to leave you're less likely to use this.
[Wed 11:25]	<dlongley>	AdamBLevine: you can do purchases/subscriptions using this new tech by clicking on ads without disruption so the ads function more like vending machines
[Wed 11:26]	<dlongley>	AdamBLevine: my focus with this project is to find better ways to monetize content and work with communities, once you get critical mass everything's ok, but before that it's difficult, it's an enormous cost to deal with the same issues prior to critical mass (issues are same between small and big sites, but only big sites can fix them)
[Wed 11:27]	<dlongley>	AdamBLevine: bitcoin has a problem right now, 6 cents USD for txns, but compared to the size of donations, it's not as good as it could be, the solution that bitcoin community is coming from is off-chain txns, so you keep track of small off-chain txns and then at some point if someone wants to cash in you make the conversion at that point so the txn cost makes more since for $3 (in aggregate) vs. 25 cents
[Wed 11:27]	<dlongley>	AdamBLevine: so with this system you can incentivize content creation
[Wed 11:28]	<dlongley>	m4nu: we're 100% on board with what you want to do here, specifically, DB, the people that created payswarm, our background was in monetizing content, we had ~1 million independent songs we were selling, we had a p2p network where fans could make money off of selling content (in addition to artists) as distributions on the p2p network
[Wed 11:28]	<dlongley>	m4nu: we absolutely believe that what you're doing is a problem with solving
[Wed 11:29]	<dlongley>	m4nu: as far as the tech used to solve the problem, you're coming from bitcoin blockchain side, we're coming from a web perspective, the talk i gave recently was about a huge community on the web 2.5 billion people, our goal is to slightly tweak the web so that payments are integrated into the core of the web
[Wed 11:29]	<dlongley>	m4nu: bitcoin has a lot of advantages over the current financial system, and we also want to use feature sof the web to enhance current financial system
[Wed 11:30]	<dlongley>	m4nu: payswarm has the ability to give an address for every single thing for sale on the web, we use a URL
[Wed 11:30]	<dlongley>	m4nu: we use URLs to identify assets, things for sale, people that are selling it
[Wed 11:30]	<dlongley>	m4nu: just like bitcoin has one address per use per user, instead of doing that, we use a URL for that txn and each txn gets its own URL and it creates a nice decentralized system that already has a fairly large community (the web) using it
[Wed 11:31]	<dlongley>	m4nu: the other part of that is that bitcoin has a number of adv. and disadv. txns cost around $0.06 which can make things difficult, on meritora the txn fee is 2% which can go down over time and that applies over time the minimum fee we charge for doing that is like 0.0002
[Wed 11:32]	<dlongley>	m4nu: with payswarm only USD is supported right now but one of the next things on the roadmap is building bitcoin into it
[Wed 11:32]	<dlongley>	m4nu: you know how you kept track of bitcoin txns offline and then cash out, that's essentially what we're implementing in payswarm
[Wed 11:32]	<dlongley>	m4nu: and once that's there you can send a couple of shitoshi's to someone and not have it all eaten up in txn fees
[Wed 11:33]	<dlongley>	m4nu: the other thing is txns are immediate, etc. and you dont' have to wait for the block chain to settle
[Wed 11:33]	<dlongley>	m4nu: that's where we are, so i think the goals here are completely aligned
[Wed 11:33]	<dlongley>	m4nu: we definitely want to help people create content on the web, we are content agnostic and currency agnostic, the system is designed that way, we're interested in achieving the same goals
[Wed 11:34]	<dlongley>	AdamBLevine: yeah, i listened to your calls and i agree, i think it's great, and that's the ultimate solution, especially that payswarm is currency-agnostic
[Wed 11:34]	<dlongley>	m4nu: we also think the number of the currencies in use will explode over time
[Wed 11:34]	<dlongley>	m4nu: even with bitcoin there are all kinds of tiny tweaks you can do, like forking it and introducing inflation, that's a new currency, any of these things changes the dynamic of how the block chain is operated, etc.
[Wed 11:35]	<dlongley>	m4nu: we've talked about creating a fiat currency on a block chain
[Wed 11:35]	<dlongley>	m4nu: clearly there are people that don't like that ide,a but if we can move fiat currency over to a block chain like mechanism that could address some fraud related issues we have today
[Wed 11:35]	<dlongley>	m4nu: there is a lot of room for currencies to grow here and chain, etc.
[Wed 11:35]	<dlongley>	m4nu: no reason to focus on one particular currency
[Wed 11:35]	<dlongley>	AdamBLevine: i totally agree, the other point of watershed is to break the media model we have right now, that's my other passion
[Wed 11:36]	<voip-ps>	Andrei Oprea (SIP/sip.freecall.com-0000002a) has left the conference.
[Wed 11:36]	<dlongley>	AdamBLevine: i don't really enjoy doing the out in public and journalism stuff, i probably should, and i feel like very few people are doing this enough, not that i'm great at it, part of this is how we fund media, microtransactions lower the barrier for the audience to be in charge of media
[Wed 11:37]	<dlongley>	AdamBLevine: i want a platform where the advertisers and creators of media are more separate, one side is audience+content creators who care about the content, the platform advertisers are looking at it from a 1000 ft level at money, etc.
[Wed 11:37]	<dlongley>	AdamBLevine: right now the payments don't flow directly, the advertiser gets paid, who pays the platform, who pays the creator, etc.
[Wed 11:38]	<m4nu>	Web Payments use cases: https://payswarm.com/specs/source/use-cases/
[Wed 11:38]	<dlongley>	AdamBLevine: i think it should be the audience that is consuming the content should be giving direct feedback by judging the quality of the content, etc.
[Wed 11:38]	<dlongley>	m4nu: yes, a number of the things you're talking about are in the use cases in the payswarm spec
[Wed 11:39]	<dlongley>	m4nu: again, our background is in media, talking about artists/scientists/content creators, whomever, we want them to have access to capital from their fans, we want kickstarter to exist without the high fees, etc.
[Wed 11:39]	<dlongley>	AdamBLevine: yes, so we're very aligned
[Wed 11:40]	<dlongley>	m4nu: so, the question is where do we go from here, so we're very involved in the technical side of things, free and open standard, etc. and we're talking with browser manufacturers, these are our strengths, we can build the tech and commercialize it and we have contacts for getting things into web browsers, and we haev some contacts in the finance community to lean on, so where do you see collaboration opportunities here
[Wed 11:41]	<dlongley>	AdamBLevine: my plan from here has been finishing development on laying out the vision and then handing it off to a developer to implement, his estimate was $15k for 2-3 months of develop, i don't think it's terribly difficult/expensive to implement, i just want this to exist, i don't care who pays for it or whatever, i just want it to happen
[Wed 11:41]	<dlongley>	AdamBLevine: if this is something you want to throw time at, it doesn't have to be project watershed, i just want these tools to exist
[Wed 11:41]	<dlongley>	m4nu: have you seen the payswarm wordpress demo?
[Wed 11:42]	<m4nu>	PaySwarm Sandbox: https://dev.payswarm.com/
[Wed 11:42]	<dlongley>	AdamBLevine: no, there's bitcredit.io and bitwall.io, two recent start ups without a product yet but maybe in 2 weeks, i'm trying out business model with one and with another, i'd be happy to try things out
[Wed 11:43]	<dlongley>	m4nu: so right now we have a wordpress plugin and you click buy on an article and you pay a very small fraction of what you'd pay now and get access to an article, etc.
[Wed 11:43]	<dlongley>	m4nu: we can also add crowd funding,etc. to that plugin
[Wed 11:43]	<dlongley>	m4nu: this has been done and out there for multiple months now, we're looking to see if people want to adopt it, and we want to add bitcoin support
[Wed 11:43]	<dlongley>	m4nu: i think the place to start would be if you could look at it and tell us what's missing from the vision you want and we could reprioritize based on your feedback
[Wed 11:44]	<dlongley>	m4nu: eventually you'll have a technical implementation based on payswarm creating what you want
[Wed 11:44]	<dlongley>	m4nu: so you can look at that and we can go from there
[Wed 11:44]	<dlongley>	AdamBLevine: ok, that sounds good, yeah, i'll look at that and we can talk about moving forward on that
[Wed 11:44]	<dlongley>	AdamBLevine: this works with USD?
[Wed 11:45]	<dlongley>	m4nu: the demo site uses fake money, but there is a real version too
[Wed 11:45]	<m4nu>	http://blog.meritora.com/launch/
[Wed 11:45]	<dlongley>	AdamBLevine: can you do multiple currnecies?
[Wed 11:45]	<dlongley>	m4nu: now no, in the future, yes, you could say "we access USD and bitcoins" for instance.
[Wed 11:45]	<m4nu>	Topic: Crypto Key Storage in the Browser
[Wed 11:45]	<dlongley>	m4nu: ok, we're very aligned and let's collaborate more in the future.
[Wed 11:46]	<m4nu>	http://lists.w3.org/Archives/Public/public-webpayments/2013Aug/0001.html
[Wed 11:46]	<dlongley>	m4nu: so you had posted things about crypto key storage in the browser
[Wed 11:46]	<dlongley>	m4nu: i had a chance to look through all three of the documents you had sent out and could you go over it a bit more?
[Wed 11:46]	<dlongley>	AndersR: you were talking about a number of things that were quite interesting, like plugins and extensions to the browser and this is all related
[Wed 11:47]	<dlongley>	AndersR: on the first document, i wrote about why i started this project back in 2006, i was concerned with 2 factor auth not working properly, they do their own clients and not use a browser client, for many reasons, still happens today with android, banks use their own solution, they don't use the built in android solution, anyway, the inspiration is this
[Wed 11:48]	<dlongley>	AndersR: i started looking at protocols for key provisions to try and solve this problem.
[Wed 11:48]	<dlongley>	AndersR: i found that i needed to match the keystore and a protocol to go with that for each keystore type, etc.
[Wed 11:49]	<dlongley>	AndersR: i'm a lurker with web crypto API, not a member, and it's great tech, but it has no connection to system keystores
[Wed 11:49]	<dlongley>	AndersR: i started playing with extensions to tie together new keystores and old ones
[Wed 11:50]	<dlongley>	AndersR: and i have a document that talks about payments with respect to this which is how i got here
[Wed 11:50]	<m4nu>	"Executive Level" description of the SKS/KeyGen2 concept: http://webpki.org/papers/SKS-KeyGen2-Project.pdf
[Wed 11:50]	<m4nu>	The WebCrypto/SKS combination: http://webpki.org/papers/PKI/pki-webcrypto.pdf
[Wed 11:50]	<m4nu>	SKS API architecture: https://openkeystore.googlecode.com/svn/resources/trunk/docs/sks-api-arch.pdf
[Wed 11:51]	<dlongley>	AndersR: The mozpay has predefined trusted UI, which is fine, there's a problem with that because payment systems can be very different, what i'd like to have is a trusted UI that is adaptable that is programmable, it's very hard to combine a programmable system that is also trusted
[Wed 11:52]	<dlongley>	AndersR: so i have talked about a trust model based on a key that signs code, each payment provider has their own protocol and ui that may or may not be standardized but the trusted part is only valid for certain pieces of software, instead of something that is universal i think that's another way to solve the problem that's what i've come up with recently
[Wed 11:53]	<dlongley>	AndersR: it is very complicated to have a dialog because of things that must be cleared before discussion, etc.
[Wed 11:53]	<dlongley>	m4nu: we operate must more transparently than that, so i've got some comments on that
[Wed 11:54]	<dlongley>	m4nu: on crypto in the browser, we're definitely focused here, as are you, the idea here is to create crypto keys and keep them in the browser and specify exactly what the keys can or can't be used for, keeping permissions for them,e tc.
[Wed 11:54]	<dlongley>	m4nu: the idea here is not to do it through an extension to the browser but to use existing tech (browser native)
[Wed 11:54]	<dlongley>	m4nu: so there's no installation
[Wed 11:55]	<dlongley>	m4nu: so your idea is to sign code and transmit signatures via postMessage(), that's how persona works, that's how they do their digital signatures
[Wed 11:55]	<dlongley>	m4nu: but persona is server-side, but your solution would use keys stored on the client
[Wed 11:55]	<dlongley>	m4nu: so we're really interested in this approach for the web payments tuff
[Wed 11:56]	<dlongley>	m4nu: currently w/payswarm, you delegate all the digital signature stuff to your payment processor, because of browser client-side limitations
[Wed 11:57]	<dlongley>	m4nu: eventually we want the customer to be in charge of all the signatures on the receipts, etc. in order to do that you have to have keys in the browser/device, so you need a secure way of doing this via the browser, so this approach using domain-locked keys and the web crypto API for the signature and using postMessage() to send the signature is great
[Wed 11:57]	<dlongley>	m4nu: i want to have a high level discussion with you and figure out how to utilize this tech, outside of persona i haven't seen too many people working on this, and it's the approach we like
[Wed 11:57]	<dlongley>	m4nu: if you look at the solution you're proposing in your documents it may not just be stop-gap it may be the way to do things
[Wed 11:59]	<dlongley>	AndersR: Yes, anonymizing stuff is important.
[Wed 11:59]	<dlongley>	m4nu: we use a URL to identify customers to the merchants right now (not necessarily personal info there at all)
[Wed 11:59]	<dlongley>	m4nu: in bitcoin only you are in control of your private keys, etc.
[Wed 11:59]	<dlongley>	m4nu: with payswarm your payment processor has some control over that
[Wed 12:00]	<dlongley>	m4nu: we want to empower the customer more
[Wed 12:00]	<dlongley>	AndersR: what about the browser vendor support for what you're doing?
[Wed 12:01]	<dlongley>	AndersR: does this require an extension in the browser?
[Wed 12:01]	<dlongley>	m4nu: we don't want to depend on the browser vendors to innovate
[Wed 12:01]	<dlongley>	m4nu: the approach we're taking right now doesn't need a browser extension, the downside is that we can't do customer-based digital signatures
[Wed 12:02]	<dlongley>	AndersR: i don't know exactly what the role will be, i'm thinking of working with device vendors, because they have a large market that is super advanced rather than going through the
[Wed 12:02]	<dlongley>	AndersR: it takes a very long time to get anything done there
[Wed 12:03]	<dlongley>	m4nu: i think you could get a certain implementation of the system you have right now, these payswarm payment processors could be interested in implementing that stuff so long as it's kept on the payment processors, they are more ok with doing crypto hacks to get a more secure system
[Wed 12:04]	<dlongley>	m4nu: it's not a priority for the browser vendors to implement this sort of stuff, they have other things on their plate.
[Wed 12:05]	<dlongley>	m4nu: we want to stay in touch and work with you as well, the best approach would be, perhaps, to build a JS library that you can put on the server to show people how to use this system and then once it's out there it could probably be integrated pretty easily
[Wed 12:05]	<dlongley>	m4nu: i'll try and send something out there to the mailing list to see if we can get some of the tech you described into the web payments work
[Wed 12:05]	<dlongley>	m4nu: i'll talk to the persona team as well
[Wed 12:05]	<dlongley>	m4nu: and their marketplace team
[Wed 12:06]	<dlongley>	m4nu: if you can respond to that once i get that message out there to keep the discussion going
[Wed 12:06]	<dlongley>	AdamBLevine: is there a reason not to use a browser extension here?
[Wed 12:07]	<dlongley>	AdamBLevine: what [Joe] has implemented here is a browser extension that allows a meta login via your bitcoin address
[Wed 12:07]	<dlongley>	AdamBLevine: why is a browser extension not good?
[Wed 12:08]	<dlongley>	m4nu: Joe's system is really good, that's not the issue, the browser extension is, you can't scale to 2 b/million people by making them install extensions
[Wed 12:08]	<dlongley>	m4nu: the only really successful extension like that is flash which as we know is being killed off
[Wed 12:08]	<dlongley>	m4nu: you don't know what browser extenisons are doing, there's a security issue, etc. but you also want the tech to be accessible to anyone... the # of people using the web vs. using extensions is much greater
[Wed 12:09]	<dlongley>	m4nu: we can't build the blockchain into the browser (having gb of data lying around)
[Wed 12:09]	<dlongley>	m4nu: until you get 1 billion people using bitcoin they aren't going to be interested in building that tech into the browser
[Wed 12:10]	<dlongley>	m4nu: the other idea is to push the identity in the block chain solution off to a third party that people trust to hold onto their bitcoin wallets but as soon as you do that you lose control over your identity
[Wed 12:10]	<dlongley>	m4nu: if the NSA/prism comes in and wants coinbase to digitally sign things on your behalf +gag order, it happens and you don't know about it
[Wed 12:11]	<dlongley>	m4nu: this is why the approach that anders is talking about is an interesting approach
[Wed 12:11]	<dlongley>	m4nu: so you get the best of both worlds while you get to
[Wed 12:12]	<m4nu>	dlongley: I'm pretty sure that the approach that Anders is talking about allows the service to sign stuff as well.
[Wed 12:12]	<m4nu>	dlongley: What we're talking about w/ Anders system is the ability to integrate w/ existing keystores and sign code and have it run in other places. It doesn't remove the ability for the provisioner to use the keys for something else.
[Wed 12:13]	<m4nu>	dlongley: With Anders solution, you get access to keystores that are more native on the device.
[Wed 12:13]	<dlongley>	AndersR: yes, you've understood it completely
[Wed 12:14]	<dlongley>	AndersR: you can combine more traditional models with web crypto API
[Wed 12:14]	<m4nu>	dlongley: Not every browser extension operates the same way, so it costs a lot more to write the code vs. something that natively ran in the browser.
[Wed 12:15]	<dlongley>	AndersR: it's very complicated to do browser extensions
[Wed 12:15]	<dlongley>	AdamBLevine: i'm looking at this as, how do we solve this problem with crypto currencies
[Wed 12:15]	<dlongley>	AdamBLevine: doing the decentralized thing without trusted stake holders is difficult
[Wed 12:15]	<dlongley>	m4nu: the ideal case here is for everyone to be in control of your own finances
[Wed 12:16]	<dlongley>	m4nu: with bitcoin you can do that, but then you don't have some of the other commerce stuff
[Wed 12:16]	<dlongley>	m4nu: now the US has said bitcoin is a currency so there may be regulation coming
[Wed 12:16]	<dlongley>	m4nu: we've got people coming from the fiat side and people from the crypto currency (bitcoin) side
[Wed 12:17]	<m4nu>	dlongley: What this comes down to is that when you use crypto currencies, you end up gaining advantages and losing some advantages.
[Wed 12:18]	<m4nu>	dlongley: You want to make sure that people can control their own finances between the two.
[Wed 12:18]	<dlongley>	AdamBLevine: right, one size fits all doesn't work
[Wed 12:18]	<dlongley>	AdamBLevine: the payswarm approach makes a lot of sense.
[Wed 12:19]	<dlongley>	m4nu: ok, let's figure out more ways to collaborate in the future, we're all very aligned
[Wed 12:19]	<dlongley>	AdamBLevine: manu, your talk is going up on episode 32 of let's talk bitcoin - https://soundcloud.com/mindtomatter/ltbep032
[Wed 12:20]	<voip-ps>	AndersR (IAX2/diamondcard-7417) has left the conference.
[Wed 12:21]	<voip-ps>	Manu Sporny (SIP/6000-00000028) has left the conference.
[Wed 12:21]	<voip-ps>	Dave Longley (SIP/6002-00000027) has left the conference.
[Wed 12:21]	<voip-ps>	Adam (SIP/sip2sip.info-00000025) has left the conference.
[Wed 12:21]	<voip-ps>	Dave Lehn (SIP/6003-00000026) has left the conference.
