[Wed 10:07:27] <manu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jul/0111.html
[Wed 10:42:45] <dlongley>	manu: adrian had this comment: "Be specific when talking about identities, or identity attributes (claims), whether the use case refers to the payer's or the payee's identity or both."
[Wed 10:43:37] <dlongley>	manu: that's good advice, we should be specific about identity, we are talking about identity attributes, credentials, claims about a particular identity URL, in general (unless there's disagreement here), we're just talking about the minimum number of attributes about the identity required to complete the txn
[Wed 10:44:21] <manu>	dlongley: that's another piece of meta-information that we can include for the use case writeup - "identity attributes required for use case".
[Wed 10:45:12] <manu>	dlongley: That'll help us stake out exactly what the Web Payments group needs from the Credentials CG technological solutions.
[Wed 10:46:09] <dlongley>	manu: the other general comment, is basically "do we really need to address this identity attribute issue or can we create a payment solution without any identity exchange at all", could we come up with a digital receipt standard without talking about how the identity is referred to in that receipt
[Wed 10:46:21] <dlongley>	manu: the main sticking point here is not whether or not we can do this
[Wed 10:46:38] <manu>	So there is an issue about whether or not we can do identity: My suggestion would be to focus the first iteration on payment processing without a need to exchange/verify the payer identity and add this in iteration 2. In terms of discussion within the IG, I think both are appropriate.
[Wed 10:47:23] <dlongley>	manu: in terms of the web payments steering group both are in scope, but the discussion shouldn't focus on identity
[Wed 10:47:53] <voip-wp>	Joseph Potvin (SIP/getonsip.com-00000022) has left the conference.
[Wed 10:48:13] <dlongley>	manu: it's certainly possible to come up with a payments solution without any identity attached to it, you can transmit value from point A to point B, the problem is that when it comes to the regulatory frameworks in most nations, it's not good enough to have cash going from A to B because you run afoul of anti-money laundering regulation, stored-value regulation, etc.
[Wed 10:48:20] <dlongley>	manu: For example, if you want to be a money transmitter in the US, you have to deal with identity.
[Wed 10:48:57] <dlongley>	manu: Digital Bazaar's position is that identity credentials is definitely in scope because otherwise you fall into the nascar payment problem very quickly, if you can't transmit at least your payment processor list, then almost automatically the payment UI requires you to put all the payment solutiosn you can think of
[Wed 10:49:16] <manu>	dlongley: And that shuts out smaller players that want to provide payment solutions. That's the other knock-on effect of that.
[Wed 10:49:55] <dlongley>	manu: identity attribute exchange is in scope at a minimum to eliminate the nascar problem, and while we're doing that there's a lot that could be transmitted to boost trustworthiness of txns online
[Wed 10:50:14] <dlongley>	manu: does anyone think that a first iteration of payments without any identity stuff would be interesting or useful to implementors?
[Wed 10:51:04] <dlongley>	evgeny: i'm thinking about which use cases could be done without identity, i can't think of them easily, you really need identity for even the most basic ones.
[Wed 10:51:16] *	timng has quit (Ping timeout: 246 seconds)
[Wed 10:51:19] <voip-wp>	Joseph Potvin (SIP/getonsip.com-00000023) has joined the conference.
[Wed 10:51:22] <dlongley>	evgeny: i think there aren't many cases where we can go without the identity data at all
[Wed 10:51:41] <dlongley>	voip-wp: 23 is joseph
[Wed 10:51:41] <voip-wp>	joseph is now associated with SIP/getonsip.com-00000023.
[Wed 10:51:44] <jpotvin>	voip: mute joseph
[Wed 10:51:44] <voip-wp>	joseph has been muted.
[Wed 10:52:10] <dlongley>	manu: in general it seems we need identity to do anything decent with this payments stuff
[Wed 10:52:25] <voip-wp>	timng (SIP/192.168.1.60-0000001e) has left the conference.
[Wed 10:52:27] <manu>	voip: unmute joseph
[Wed 10:52:28] <voip-wp>	joseph has been unmuted.
[Wed 10:52:43] <voip-wp>	timng (SIP/192.168.1.60-00000024) has joined the conference.
[Wed 10:52:44] *	timng (ae1589c5@gateway/web/freenode/ip.174.21.137.197) has joined #webpayments
[Wed 10:52:53] <dlongley>	jpotvin: "Value and Exchange Benchmarking" is the phrase is use to describe this
[Wed 10:52:55] <manu>	Topic: Value-in-Exchange Benchmarking
[Wed 10:53:01] <manu>	So, we have this Use Case: Payee and payers negotiate secure price in an open market. They are free to choose all three essential attributes of the numeric quantity expressing a price (e.g. 10.99), namely: a unit-of-account (e.g. $ £ € ¥ etc.); a medium-of-exchange (e.g. debit card, credit card, web payment etc.); and, a value-in-exchange benchmark (e.g. WM Reuters Spot Exchange; Purchasing Power Parity; Commodity Index; etc.)
[Wed 10:53:03] <dlongley>	jpotvin: i'm talking with a number of people in different communities for the right terminology
[Wed 10:54:19] <dlongley>	jpotvin: the issue is... paypal has seen it useful to provide a choice of more than one benchmark when there are txns involving more than one currency, it's not very hard to implement, paypal has done too much on it, but the reason they do that, it's a complex thing to wrap your head around it, they do an incredible job attempting to explain it, in terms of a use case it's actually quite simple, the choice of the benchmark is obviously relevant when there's more than one currency, just as relevant when there's payment over time
[Wed 10:54:32] <dlongley>	jpotvin: so even in a single currency the issue arises for subscriptions, etc
[Wed 10:55:18] <dlongley>	jpotvin: as soon as someone needs to think about it they have to scratch their head and think about it, the challenge we have is that not addressing it is a default decision to leave this aspect to an arbitrary supplier, paypal says you can do that or choose ours, there should be more general w3c ways to approach
[Wed 10:55:31] <dlongley>	manu: i don't think the question is whether this is useful to society, etc. it should definitely exist
[Wed 10:55:38] <dlongley>	manu: the question is whether we can technically enforce it
[Wed 10:55:59] <dlongley>	manu: if a merchant specifies a benchmark, is it then "illegal" for a payment processor to ignore that and use whatever they want
[Wed 10:56:43] <dlongley>	manu: payment processors might just run through anyway, you could argue the merchant could jump in and sue the payment processor because they didn't follow the contract the merchant specified, there's a destabilizing risk there that the payment processors then don't process anything with a pricing benchmark
[Wed 10:57:26] <dlongley>	jpotvin: i think all of these specifications are voluntary, if i'm a vendor and i have a catalog for something for $10.99 and the intermediary makes it $11.99 and takes a dollar, it's an external issue if the intermediary is imposing
[Wed 10:58:29] <dlongley>	jpotvin: the problem that we have in the last two decades is we've gotten used to a certain way of doing things because of the way it organically emerged in the web payments space, but the question that arises with the creation of the w3c web payments standard if it proceeds to pave the cow path when it's an unfair cow path or if it specifies out macroeconomic fee for service vs.. microeconomic [missed]
[Wed 10:59:46] *	jpotvin has quit (Quit: Leaving.)
[Wed 11:00:01] <dlongley>	manu: no disagreement from me personally, the concern i have is whether or not this is technically something that is fairly simple to implement; we don't know any of the details for how to implement because we haven't put a lot of thought into it, if we put this feature in, at a minimum, we'll need a protocol for reading the benchmark data, some query protocol saying the merchant set the price on this date, so they are expecting the unit of account and price to be .... they set it in jan 2013 and now someone wants to purchase and now they have to figure out the difference between jan 2013 and jul 2014, and we need a full-blown protocol to do all that
[Wed 11:00:21] <dlongley>	manu: the concern is that every payment processor will have to implement that and if it's not simple to implement, we could see that as one more argument as to why they don't want to use web payments
[Wed 11:00:43] <dlongley>	manu: i know that doesn't resonate with you, as this is the right thing to do because we have an unfair system and if we can right it, we should
[Wed 11:00:53] <dlongley>	manu: my concern is that in trying to do that it may become something payment processors don't want to do
[Wed 11:01:05] *	jpotvin (~jpotvin@69-165-170-68.dsl.teksavvy.com) has joined #webpayments
[Wed 11:01:23] <dlongley>	jpotvin: i think you're over-complicating it, paypal is already doing this, shouldn't there be a spec describing what paypal is already doing
[Wed 11:01:47] <dlongley>	jpotvin: as with anything, there's a really complex way to look at this and a simple way
[Wed 11:02:04] <dlongley>	jpotvin: if the CG says paypal is doing that and we don't want to address that use case, then I don't get it.
[Wed 11:02:24] <dlongley>	manu: you're talking about paypal which is a gigantic corp, and implementing this as small players might be difficult
[Wed 11:03:05] <dlongley>	manu: it's non-trivial from an implementation standpoint, ... secondly, we add fragility to the system, if the benchmark goes down, can't get access to it, etc you can't buy things on the system
[Wed 11:03:40] <dlongley>	manu: counter-arguments, we're talking about a single REST call out, any kind of pricing index that's fragile won't be used by people, they'll just switch to one that isn't fragile, it's about trying to figure out the benefits of doing this and if they outweight the cost
[Wed 11:03:49] <dlongley>	manu: i'm making these arguments more as a devil's advocate
[Wed 11:03:54] <dlongley>	manu: personally i'd love to see this tech
[Wed 11:04:00] <dlongley>	manu: these are the arguments you'll get from implementors
[Wed 11:04:24] <dlongley>	jpotvin: this is, at this scope, just the CG identifying use cases for the IG to talk about
[Wed 11:04:40] <dlongley>	jpotvin: if the IG determines it's too much of a headache to implement, that's a stage one could arrive at
[Wed 11:05:06] <dlongley>	jpotvin: i think taking it out at this point is to accept one of the great blockages of transparency of web payments off the bat
[Wed 11:05:36] <manu>	dlongley: I think it should go in, let's put it in at this stage. Let's get the IG to make the determination. We should put it out there as something that the community has discussed.
[Wed 11:06:13] <dlongley>	jpotvin: i'll go back and look at the use case and see if i can make it seem less problematic
[Wed 11:06:21] <dlongley>	manu: i think the use case is pretty clear regarding what you're asking for
[Wed 11:06:26] <dlongley>	manu: but we can discuss offline
[Wed 11:06:51] <voip-wp>	timng (SIP/192.168.1.60-00000024) has left the conference.
[Wed 11:06:51] <voip-wp>	dlehn (SIP/50.134.65.129:5060-0000001d) has left the conference.
[Wed 11:06:52] <voip-wp>	Manu Sporny (SIP/6000-00000019) has left the conference.
[Wed 11:06:52] <voip-wp>	Dave Longley (SIP/6002-0000001c) has left the conference.
[Wed 11:06:53] <voip-wp>	Evgeny (SIP/sip2sip.info-0000001b) has left the conference.
[Wed 11:07:07] <voip-wp>	joseph (SIP/getonsip.com-00000023) has left the conference.
