[Tue 21:33:47] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Jun/0170.html
[Tue 22:00:34] <mediaprophet>	isn’t most of the traditional autocomplete information contained within the identity credientials declaration?
[Tue 22:00:54] <dlongley>	m4nu: yes, tim it is
[Tue 22:01:05] <dlongley>	m4nu: simple stuff like proof of age, address, simple stuff like that is there, yes
[Tue 22:01:28] <dlongley>	m4nu: the assumption we're making here are that those pieces of information are a different part of the system
[Tue 22:01:52] <dlongley>	m4nu: address, name, proof of age, etc. aren't that difficult
[Tue 22:02:21] <m4nu>	dlongley: By using JSON-LD, we've essentially decoupled the need to standardize the protocol for transmitting this information from what the information looks like.
[Tue 22:02:46] <m4nu>	dlongley: We can say that there is an ontology that describes what the information looks like, which is different from what the JSON-LD message looks like.
[Tue 22:02:48] <mediaprophet>	their’s two tiers?  the merchant and the identity provider…  i’d imagine, most of the traditional ‘claims’ were entered directly via the mechant UI
[Tue 22:03:43] <dlongley>	mediaprophet: the identity structure has [missed], traditionally you've been giving the information to the merchant, with the autocomplete, facebook connect, etc. it pulls that from some source browser, whatever, i would think with identity credentials, the constituents [missed]
[Tue 22:04:00] <dlongley>	m4nu: i think that's true, there will be enough people pushing on this stuff to figure out what the format for these messages will look like pretty quickly
[Tue 22:04:17] <dlongley>	mediaprophet: for a driver's license, the address will be attached to that, right?
[Tue 22:04:29] <dlongley>	m4nu: it's definitely paired with the IC and in the information that is sent over.
[Tue 22:05:00] <dlongley>	m4nu: it may not be us that standardizes the format, or may be ... but other groups/orgs can get together and standardize it w/o our consent which is exactly what we want. Each market vertical is going to want their own type of info.
[Tue 22:06:03] <m4nu>	dlongley: Because that work has been done, and because people are publishing schema.org addresses, we'll probably just re-use that. The problem is being solved as we speak.
[Tue 22:06:06] <dlongley>	m4nu: we've already gone through a lot of the churn over the past 10 years to create ontologies for this stuff, we should re-use them.
[Tue 22:06:14] <dlongley>	mediaprophet: i agree
[Tue 22:06:32] <dlongley>	mediaprophet: we've got an identity provider that has that sort of information and we've got a merchant, most of the autocomplete form data would come from the identity provider itself.
[Tue 22:07:11] <m4nu>	dlongley: Yes, that's how it'd work. Identity Credentials spec holds all identity data at identity provider, it comes from there.
[Tue 22:07:41] <dlongley>	dlongley: We currently have this: Transmit one or more pieces of information before a purchase occurs such that the identification of participants in a transaction can be performed.
[Tue 22:08:10] <m4nu>	dlongley: We could alter that use case a bit.
[Tue 22:08:46] <mediaprophet>	provide pre-approval of a participant using identity credentials?
[Tue 22:11:37] <dlongley>	dlongley: Maybe something like this - Transmit one or more pieces of information (such as proof-of-age, shipping address, etc.) to a website to enable access or fulfillment of a transaction.
[Tue 22:12:08] <m4nu>	+1, may want to mention authorization and access/fulfillment.
[Tue 22:15:54] <dlongley>	dlongley: Ok, so this? A customer visits a website and authorizes the transmission of one or more pieces of information (such as proof-of-age, shipping address, etc.) previously stored with an identity provider to the website to enable access or fulfillment of a transaction.
[Tue 22:16:21] <mediaprophet>	+1
[Tue 22:16:21] <m4nu>	+1, I'll commit that to the use case list.
[Tue 22:17:29] <m4nu>	Topic: Data Accountability
[Tue 22:17:29] <m4nu>	The last part of the RequestAutocomplete one is covered by this use case: Use Case: Temporary payment tokens for merchants. If token is stolen, thief does not get access to financial account. Tokenization mechanism that protects the buyer and merchant from theft of credentials.
[Tue 22:18:13] <m4nu>	dlongley: Do we want to say something about a Design Criteria - avoid trying to guess how browser should complete web forms. Do we want to say something about sharing secrets design pattern.
[Tue 22:19:23] <m4nu>	Is this what we want? Design Criteria: Avoid solutions that require customer secrets to be unnecessarily exposed to merchants.
[Tue 22:19:35] <dlongley>	dlongley: Particularly, secrets that could cause great damage if stolen.
[Tue 22:24:06] <dlongley>	Group discussion around attaching some sort of accountability to the data transmitted, whether or not that is in scope, whether or not it's technically achievable, and whether or not it's politically achievable.
[Tue 22:28:20] <m4nu>	mediaprophet: What about attaching accountability to data that's transmitted?
[Tue 22:29:12] <m4nu>	Well, we don't want to transmit secrets at all if possible. Credit card numbers, definitely not. Address information, is a secret that could cause damage.
[Tue 22:29:35] <m4nu>	dlongley: We don't want to try and standardize that because we don't know how to protect address information very well.
[Tue 22:29:45] <mediaprophet>	It’s outside of scope, to protect information that has been passed to the merchant (address information, etc.).
[Tue 22:31:20] <m4nu>	dlongley: I think we have enough information in the use cases where we can just strike the "reject RequestAutocomplete" one. We don't really even need the design criteria.
[Tue 22:31:21] <m4nu>	ok
[Tue 22:32:06] <mediaprophet>	The ability to log requests to/from the identity provider is an option - however this may be a value-add.  in theory, a few levels exist; no logging, selective logging, mandatory logging.  this doesn’t protect data that has be previously sent to the mechant - even if a unique key has been generated for each information sharing event.
[Tue 22:34:00] <m4nu>	I agree about the philosophical goal, don't know if we can prescribe that.
[Tue 22:34:25] <m4nu>	dlongley: What are the elements that are interoperating here? We don't want to be overly prescriptive.
[Tue 22:35:18] <m4nu>	mediaprophet: If something doesn't conform wrt. W3C Validator, it doesn't conform. It takes a position. I'm wondering if this is one of those cases. Users have traditionally not had the same level of accountability as companies. There are implications to that in practice.
[Tue 22:36:49] <m4nu>	mediaprophet: Maybe we should say that protocol should state clearly that it's logging something, logging everything, etc.
[Tue 22:37:17] <m4nu>	dlongley: The point would be to build a tool that would ask "What is your level of logging?". People don't want to automate where they're putting their identity information so they're not auditing it on a personal level.
[Tue 22:37:46] <m4nu>	mediaprophet: I think it's the identity provider that would have the logging capability. I think there would be options provided by a compatible service. It could simply be in the receipt.
[Tue 22:38:04] <m4nu>	dlongley: So a merchant would be able to ask the identity provider if they're logging the information.
[Tue 22:38:35] <m4nu>	mediaprophet: Let's say service gives you a digital stamp that's traceable. Where that log might live might be w/ the identity provider.
[Tue 22:39:24] <m4nu>	mediaprophet: A "law-to" relationship - you go to a local shop, they have windows running their POS system, you tap your phone and get your digital receipt, you can specify your loyalty relationship w/ the merchant. How much is that merchant interrogating your data? What are your privacy preferences.
[Tue 22:39:43] <m4nu>	mediaprophet: If the data exists and you can pull it up, it empowers people to use the data that exists and provide accountability.
[Tue 22:40:53] <m4nu>	m4nu: So, you're basically saying that you want people to be empowered by knowing when people are reading their personal information.
[Tue 22:41:18] <m4nu>	mediaprophet: Just saying that having that data available can be important, identifying what data is being made available is as important as not getting it.
[Tue 22:42:04] <m4nu>	dlongley: An additional spec that could come out of this work could be an optional API for identity providers that would allow you to gather data on who's been requesting your information.
[Tue 22:42:42] <m4nu>	dlongley: At the same time, you still don't know if they're logging that information. They could only store 10 things - even if that standard exists, it's still policy/trust that people have when they personally audit a place where they store the identity - it's outside of the technology.
[Tue 22:42:42] <m4nu>	Ok, we're out of time this week, see everyone next week.
[Tue 22:43:00] <voip-ps>	ubiquitous (SIP/iptel.org-00000147) has left the conference.
[Tue 22:43:01] <voip-ps>	Manu Sporny (SIP/6000-0000013e) has left the conference.
[Tue 22:43:02] <voip-ps>	timng (SIP/192.168.1.74-00000143) has left the conference.
[Tue 22:43:02] <voip-ps>	Dave Longley (SIP/6002-00000140) has left the conference.
[Tue 22:43:04] <voip-ps>	dlehn (SIP/50.134.65.129:5060-00000149) has left the conference.
