[Tue 14:13]	<manu1>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2012Sep/0000.html
[Tue 14:53]	<dlongley>	manu: and it isn't a payment intent, it's a "we need to have a line of grant open for $25,000 and we don't know when/if we'll need to use the money, but if we do we'll pull it from your account at that time"
[Tue 14:53]	<dlongley>	manu: and people can allow people to do that as needed
[Tue 14:53]	<dlongley>	manu: a person can say "I allow the nyc GA to pull up to $5/month"
[Tue 14:53]	<dlongley>	nick: makes sense
[Tue 14:54]	<dlongley>	manu: budgets are supported today, but payment intents are not implemented yet
[Tue 14:54]	<dlongley>	manu: but they will be, but the budget mechanism is pretty powerful
[Tue 14:54]	<dlongley>	nick: i'm curious if this is supported/will be supported: what about crazy/custom budgets
[Tue 14:55]	<dlongley>	nick: like i want 75% of money in this account to be in the budget... we could do that in our own software i guess, it wouldn't necessarily be all transparent either
[Tue 14:56]	<dlongley>	manu: this goes back to flexibility, for instance, once a month you could pull money from a budget and then send 25% to X and 75% to Y you could do that
[Tue 14:56]	<dlongley>	manu: and that would all show up in the transaction log
[Tue 14:56]	<dlongley>	manu: you would just write the custom software to do that
[Tue 14:56]	<dlongley>	manu: does that make sense?
[Tue 14:57]	<dlongley>	nick: let me find a different way to ask, could we trust someone to set up an account and then we'd be able to verify certain things that they are distributing funds in a certain way, could we look at an account and see things like that
[Tue 14:57]	<dlongley>	manu: let's try to clarify terminology: a budget is strictly a spending limit that you set
[Tue 14:58]	<dlongley>	manu: a vendor is someone you're going to pay for an asset
[Tue 14:58]	<dlongley>	manu: you could set a spending limit with a vendor or say, 5 different vendors, that is a budget
[Tue 14:58]	<dlongley>	manu: if you set a $50/month budget and assigned 5 vendors
[Tue 14:58]	<dlongley>	manu: you could spend up to $50 a month and it wouldn't go over on any combination of assets from those vendors
[Tue 14:59]	<dlongley>	manu: i think what you're talking about is a business rule or a triggered payment of some kind
[Tue 14:59]	<dlongley>	manu: we don't have a plan right now for setting up payment triggers
[Tue 14:59]	<dlongley>	manu: so right now, it would have to be implemented in custom software
[Tue 14:59]	<dlongley>	manu: that said, it should be pretty simple to do some REST calls to do that
[Tue 14:59]	<dlongley>	manu: so you could do a GET on an account and then a couple of POSTs to transfer money to two other accounts
[Tue 15:00]	<dlongley>	manu: so that would be like 3-HTTP calls to transfer money around
[Tue 15:00]	<dlongley>	nick: ok, makes sense, this is sort of out of left field and not crucial, i was just curious
[Tue 15:01]	<dlongley>	manu: our hope is that people will write interesting apps on top of this system, it's an open standard and we want people to write open source software on top of it to really innovate a lot
[Tue 15:01]	<dlongley>	manu: maybe someone completely unrelated to OWS would write some open source stuff that does what you guys want, we really would like to see that happen
[Tue 15:01]	<dlongley>	manu: we want to see code reuse and innovation
[Tue 15:01]	<dlongley>	nick: makes perfect sense to me
[Tue 15:02]	<manu1>	Topic: OWS Alternative Currencies
[Tue 15:02]	<dlongley>	manu: we take alternative currencies seriously but we're not going to be able to get them implemented very soon
[Tue 15:02]	<dlongley>	nick: OWS is the same way
[Tue 15:02]	<dlongley>	manu: the core protocol today has a currency string so you can say "USD/EUR" or whatever currency you have
[Tue 15:03]	<dlongley>	manu: the unit is separate from the unit, so you can model chickens and eggs or dollars
[Tue 15:03]	<dlongley>	manu: so we have a concept of a currency mint which would allow anyone to mint new currency
[Tue 15:03]	<dlongley>	manu: if you can own a URL online and you have a server/etc something online, you could issue your own currency
[Tue 15:03]	<dlongley>	manu: and a payswarm authority should be able to just interact with that currency mint
[Tue 15:03]	<dlongley>	manu: so when we design stuff we keep alternative currencies in mind, we just haven't spec'd everything out yet
[Tue 15:04]	<dlongley>	manu: we need to set up exchanges for bitcoin/ven/things like that
[Tue 15:04]	<dlongley>	manu: we're sort of waiting for someone to say that they really really want to use alternative currencies before we devote a lot of time to implementation
[Tue 15:04]	<dlongley>	nick: there are a lot of OWS people that are kicking around alternative currency ideas, and i'm sure it will take some time but use cases will begin to crop up
[Tue 15:05]	<dlongley>	nick: i heard on previous calls (the payswar minutes) i heard about other ways of exchanging alternative currencies offline
[Tue 15:05]	<dlongley>	nick: i liked the idea though i realize that trust was an issue that was mentioned on the calls
[Tue 15:05]	<dlongley>	nick: there's potential there for those use cases
[Tue 15:06]	<dlongley>	manu: we're trying to provide some halfway implementation between bitcoin and current monetary systems
[Tue 15:06]	<dlongley>	manu: we want to support offline exchanges as much as possible
[Tue 15:06]	<dlongley>	manu: we just have to focus in certain areas
[Tue 15:06]	<dlongley>	manu: the future will be more an more internet connectivity, not less
[Tue 15:06]	<dlongley>	manu: so those use cases/solutions might become more fringe as time goes by
[Tue 15:06]	<dlongley>	manu: there are still legitimate uses for being completely offline and being able to exchange funds
[Tue 15:07]	<dlongley>	manu: the main thing i wanted to discuss was that OWS didn't have short term needs for alt currencies
[Tue 15:07]	<dlongley>	nick: nope
[Tue 15:07]	<dlongley>	manu: if there's a big need for something we might jump at that opportunity
[Tue 15:07]	<dlongley>	manu: if something changes in the future where other use cases pop up we'll focus more on it
[Tue 15:09]	<dlongley>	nick: i know a lot of people who are very excited about alt currencies and i see payswarm being a potentially easy framework to implement these things into -- and if i hear that people are trying to do things i'll definitely recommend that they let you guys know
[Tue 15:09]	<manu1>	Topic: Expected Implementation Timeline for Software
[Tue 15:09]	<dlongley>	manu: most of things discussed today are done...
[Tue 15:10]	<dlongley>	manu: we talked about transparent donations, we have a concept of public accounts, anonymous identities, right now if there's a transaction the only people who can view it are those that sold/bought the asset
[Tue 15:10]	<dlongley>	manu: we can extend this to show others (if desirable) to show money going into/out of accounts w/out showing the identities involved
[Tue 15:10]	<dlongley>	manu: the last step is showing fully public transactions
[Tue 15:11]	<dlongley>	manu: the only thing that is keeping us from doing that are the privacy implications
[Tue 15:11]	<dlongley>	manu: technically it's easy, we just need to make sure to be careful w/privacy
[Tue 15:11]	<dlongley>	manu: we might need something like a flag that says "i don't ever want to show up on a public transaction log"
[Tue 15:11]	<dlongley>	manu: we'll need to talk more about your use case i think
[Tue 15:12]	<dlongley>	manu: do we only need to know who is getting money or do we also need to know who is sending it, etc.?
[Tue 15:12]	<dlongley>	nick: i'll try to clarify this with as many people as possible, we want to be as transparent and anonymous as possible
[Tue 15:12]	<dlongley>	manu: yeah, it's a sliding scale
[Tue 15:13]	<dlongley>	manu: we can always go from very anonymous to less anonymous, it's fairly safe
[Tue 15:13]	<dlongley>	nick: yeah, not so much the other way
[Tue 15:13]	<dlongley>	manu: transparent donations are technically easy for us to do, but privacy issues have to be figured out
[Tue 15:13]	<dlongley>	manu: we could easily implement it and spec it out once we figure that out
[Tue 15:14]	<dlongley>	manu: doing the line of grant stuff, customizing listings, etc. that can all be done today, the custom software to generate the listings from whatever UIs just have to be written
[Tue 15:15]	<dlongley>	manu: alt currencies -- the protocol supports it, but not really a strong case to implement now
[Tue 15:15]	<dlongley>	manu: i'd say OWS could achieve a decent number of its tasks today using the existing system
[Tue 15:15]	<dlongley>	manu: we could help explain how to integrate some of the things like slider/bar-based donations, etc.
[Tue 15:16]	<dlongley>	manu: i think you also tried out the demo and wordpress plugin
[Tue 15:16]	<dlongley>	nick: yes, it worked well
[Tue 15:16]	<dlongley>	nick: i'd like to work on some node/express clever stuff too
[Tue 15:16]	<dlongley>	nick: the potential for this is ridiculously insane
[Tue 15:16]	<dlongley>	nick: that summarizes my feelings
[Tue 15:17]	<dlongley>	manu: we'll try and create some simple nodejs server (or maybe php) that does split donations so you guys can see how that's done
[Tue 15:17]	<dlongley>	manu: and let you hack on that after that
[Tue 15:17]	<dlongley>	manu: thanks for your time, nick
[Tue 15:17]	<dlongley>	nick: sounds great
[Tue 15:17]	<dlongley>	nick: thank you guys
