[Wed 10:05:30] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Sep/0160.html
[Wed 10:26:57] *	Evgeny (4d4b997a@gateway/web/freenode/ip.77.75.153.122) has joined #webpayments
[Wed 10:27:04] <voip-wp>	Evgeny (SIP/sip2sip.info-000000a8) has joined the conference.
[Wed 10:27:15] <dlongley>	m4nu: We need to have two break out sessions, identity+payments, for the people not deeply involved in the IG work.
[Wed 10:27:45] <dlongley>	m4nu: We hold the payments thing on Tuesday in the middle of the day, and that will be a basic overview for people not directly involved in the work; a high-level overview of what's happened over the last two days, here are some resources to track the work, etc.
[Wed 10:28:17] <dlongley>	m4nu: I was hoping the break out session would try and summarize what's happening in the IG.
[Wed 10:28:30] <dlongley>	m4nu: I think the only way we can schedule this is credentials break out on day one and web payments break out on day two.
[Wed 10:29:03] <dlongley>	m4nu: We could do identity on both Monday and Tuesday and payments on Wednesday.
[Wed 10:29:39] <m4nu>	dlongley: As long as there are enough people for payments on wednesday, that aren't going to miss out - most of focus will be on payments in official group. There is less time for the identity stuff to be discussed.
[Wed 10:30:17] <dlongley>	m4nu: That will give us four hours of time to do face-to-face on identity and around those two meetings there will be payments, 8 hours total on payments.
[Wed 10:30:33] <dlongley>	m4nu: On wednesday we could have a wrap up session for those who couldn't attend on Monday and Tuesday.
[Wed 10:31:27] <dlongley>	m4nu: The Internet Identity Workshop happens on Wednesday at the same time we could do a breakout session at TPAC, which is problematic.
[Wed 10:31:27] <voip-wp>	Evgeny (SIP/sip2sip.info-000000a8) has left the conference.
[Wed 10:31:51] <voip-wp>	Evgeny (SIP/sip2sip.info-000000a9) has joined the conference.
[Wed 10:34:23] <m4nu>	dlongley: Will there be a significant number wanting to attend a breakout session.
[Wed 10:35:00] <m4nu>	dlongley: Do you need to squeeze anything in on Tuesday?
[Wed 10:35:31] *	Evgeny has quit (Ping timeout: 246 seconds)
[Wed 10:36:04] <m4nu>	dlongley: Only official members can come into IG meeting - all Web Payments talk will happen Mon/Tue?
[Wed 10:36:21] <m4nu>	Yes, W3C TPAC attendance is on a bell curve - most everyone will be there on Wednesday.
[Wed 10:37:11] <dlongley>	m4nu: So Payments IG meeting Mon/Tues, in between will be break out sessions for Identity/Credentials, and then quick overviews of the payments and identity work on Wednesday in break out session starting in the morning.
[Wed 10:37:29] <adrianhopebailie>	+1
[Wed 10:37:53] *	Evgeny (4d4b9801@gateway/web/freenode/ip.77.75.152.1) has joined #webpayments
[Wed 10:38:17] <dlongley>	m4nu: I would imagine the Credentials stuff will be formatted in a way that matches the Payments stuff, so we'll do a history/etc.
[Wed 10:38:44] <dlongley>	m4nu: Intro to W3C, history of what got us here, we have a set of use cases, and here's the roadmap.
[Wed 10:39:04] <dlongley>	m4nu: The second day will be just use cases, focusing/refining, getting consensus.
[Wed 10:39:12] <dlongley>	m4nu: That will be it for the credentials stuff.
[Wed 10:39:35] <dlongley>	m4nu: Monday (intro, etc.), Tuesday (use cases for 2 hours)
[Wed 10:40:43] <m4nu>	m4nu: Are we going to be able to do demos at W3C TPAC?
[Wed 10:41:40] <m4nu>	dlongley: The current system we have would be simpler to demo than the new system that has regulatory stuff in it.
[Wed 10:43:18] <m4nu>	Monday, 2nd Web Payments IG session - maybe start off w/ use cases, then show demos.
[Wed 10:44:44] <dlongley>	m4nu: A lot of people will be introduced to these use cases for the first time.
[Wed 10:45:17] <dlongley>	m4nu: Because their orgs have prohibited involvement until official work starts.
[Wed 10:45:20] <m4nu>	Adrian: How much time does it take to talk through and demonstrate the use case?
[Wed 10:46:16] <m4nu>	Adrian: There are a number of use cases that we can't demo yet, I'm sure. For illustration of what the use case is intended to address, a demo is very useful.
[Wed 10:47:01] <m4nu>	dlongley: Something that we should probably do is order the use cases in demo-able order. An alternative would be to discuss those use cases and show a demo once, that would allow people to understand how those use cases could be addressed. Then we could keep going through the demo, that would be one way to speed it up.
[Wed 10:47:42] <m4nu>	Adrian: If we show a demo, it's not the only way to solve the use case, it's one way to solve the use case. We might want to have discussion first and then show the demo.
[Wed 10:48:17] <dlongley>	m4nu: If we show the demo first they may get overly hung up on the demo and if we do it last they might not get the use case until they've seen the demo, so tradeoffs.
[Wed 10:48:29] <m4nu>	Adrian: Maybe this needs to be done on a case-by-case basis. 
[Wed 10:49:12] <dlongley>	m4nu: In general, there will be some set of demos, we don't know if they'll be done first or inline w/the discussion around the use cases.
[Wed 10:49:32] <dlongley>	m4nu: What might be helpful if we do a wrap up and say everything between the intro and the wrap up will be discussion around use cases and roadmap and things like that.
[Wed 10:49:51] <dlongley>	m4nu: Let's jump to Tuesday afternoon... what do we want to put on the agenda in terms of wrap up items are concerned.
[Wed 10:50:31] <m4nu>	Adrian: What's required for the IG to continue? What are the expected steps after TPAC?
[Wed 10:51:24] <dlongley>	m4nu: We also need to give everyone an intro to the specs we have so far, they are proposals, not set in stone, but someone has to start and provide the IP to start the standardization work (that's before the wrap up).
[Wed 10:51:51] <dlongley>	m4nu: We can talk about the next steps with Stephane Boyera and the two chairs of the IG.
[Wed 10:52:38] <dlongley>	m4nu: We can identify what we need to do and where we need to go, etc. and that's a group discussion, maybe committing to some kind of time line. We'll have a technical roadmap and a procedural time line -- and we can talk about what the next year looks like and what happens in the next year, what documents are expected to be delivered, etc. things like that.
[Wed 10:53:09] <dlongley>	m4nu: The other thing we should discuss in the wrap up is recruiting, more W3C members to participate in the work, we have to take recruiting pretty seriously because everyone's time is split so much in W3C so we need to get orgs to join and assign engineers.
[Wed 10:53:39] <dlongley>	adrianhopebailie: Does anyone have a prioritized list of candidates? People to get involved, etc.?
[Wed 10:54:00] <dlongley>	m4nu: Yeah, I keep a list, maybe I should publish that on the wiki -- to list all the orgs we want to participate and our current status in outreach to them.
[Wed 10:54:39] <dlongley>	m4nu: We need to be careful not to get in the way of W3C communications.
[Wed 10:55:38] <m4nu>	Adrian: It's important that we reach out to many of these organizations, especially the large ones, to make sure they know what's going on.
[Wed 10:56:02] <dlongley>	m4nu: Agreed, and we've been doing that for the last three years which is one reason we've got so many people involved in the workshop, etc.
[Wed 10:56:31] <m4nu>	Adrian: With the new /official/ group, we should do more outreach.
[Wed 10:57:54] <dlongley>	m4nu: We're at the top of the hour -- let's take everything we've discussed on this call, I'll try and put a proposed agenda together and we can get feedback from the CG to refine/get objections and then pass to chairs and W3C staff.
[Wed 10:57:54] <taaz> thanks, bye.
[Wed 10:57:54] <evgeny> bye
[Wed 10:58:21] <voip-wp>	Manu Sporny (SIP/6000-000000a7) has left the conference.
[Wed 10:58:22] <voip-wp>	Dave Longley (SIP/6002-000000a6) has left the conference.
[Wed 10:58:26] <voip-wp>	dlehn (SIP/71.197.0.193:5060-000000a5) has left the conference.
[Wed 10:58:26] <voip-wp>	Evgeny (SIP/sip2sip.info-000000a9) has left the conference.
[Wed 10:58:37] <voip-wp>	Adrian Hope-Bailie (SIP/sip2sip.info-000000a4) has left the conference.
