[Wed 11:02:56] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Feb/0130.html
[Wed 11:29:31] <taaz>	m4nu: The solution was partially centralized at first. Then they suddenly published an "After Action Review", which you typically do at the end of a project.
[Wed 11:29:32] <m4nu>	https://wiki.mozilla.org/Identity/Persona_AAR
[Wed 11:30:10] <taaz>	m4nu: Two weeks ago posted after action review, then they went silent.  It has become apparent that the entire persona team has now been assigned to other projects.
[Wed 11:30:33] <taaz>	m4nu: Not tombstoned but put into maintenance mode.  Only work will be volunteer based development, Persona will be kept alive for the foreseeable future.
[Wed 11:30:48] <taaz>	m4nu: They are going to focus on Firefox accounts, more vertical integration w/ FirefoxOS.
[Wed 11:30:59] <taaz>	m4nu: They sent out email last week detailing what's going on:
[Wed 11:31:20] <m4nu>	https://groups.google.com/forum/#!msg/mozilla.dev.identity/Qnxt8lmOEeo/fVtJrMDfOjMJ
[Wed 11:31:55] <taaz>	m4nu: They will try to get a blog post about the status out some time this week.
[Wed 11:32:06] <taaz>	m4nu: If we want more features we'll have to go in and implement them ourselves.
[Wed 11:32:10] <m4nu>	https://web-payments.org/specs/source/web-identity/
[Wed 11:32:22] <taaz>	m4nu: We've got a web identity spec that is supposed to integrate with Persona.
[Wed 11:32:38] <taaz>	m4nu: We're getting some interest from other large organizations in the Web Identity spec and other people are working on their own solutions.
[Wed 11:32:56] <taaz>	m4nu: Persona going into maintenance mode is a step backwards for the Web. We wanted someone else to develop that solution, but it doesn't look like it's going to happen.
[Wed 11:33:12] <taaz>	m4nu: The other spec out there is OpenID Connect.
[Wed 11:33:57] <taaz>	m4nu: Should the web identity spec be compatilble with OpenID Connect?  It probably should be, we don't want to pick a winner, but we may have to provide an alternative to OpenID Connect.
[Wed 11:34:17] <taaz>	m4nu: There are other approaches out there as well, such as Namecoin.
[Wed 11:34:32] <taaz>	m4nu: That is a fully decentralized solution.
[Wed 11:34:39] <taaz>	m4nu: Not clear where we should go at this point.
[Wed 11:34:57] <taaz>	m4nu: The web payments workshop is coming up.  Should expect identity will be a big topic there. You need solid identity for payments.
[Wed 11:35:14] <taaz>	m4nu: Should have alternatives to show for identity and KYC before the workshop.
[Wed 11:35:21] <taaz>	m4nu: Any comments before we end the call?
[Wed 11:36:39] <taaz>	m4nu: Brent, we'll work on the use cases in the interim. I'll get the first two examples filled out and then it'd help if you get the rest.
[Wed 11:36:48] <taaz>	m4nu: We'll chat again next week. Bye!
