[Wed 10:04:57] <m4nu>	Agenda: http://lists.w3.org/Archives/Public/public-webpayments/2014Aug/0066.html
[Wed 10:24:40] <dlongley>	m4nu: we run those calls exactly like we run these, minuted, we have audio for it.
[Wed 10:24:55] <dlongley>	m4nu: the call next week is canceled next week due to IGF, but the week after we'll go through use cases and requirements.
[Wed 10:25:15] <dlongley>	m4nu: we'll be handing the identity use cases over to that group and there's a larger consortium of groups that want to see that work move forward, which is what we want, a broader coalition working on that stuff.
[Wed 10:25:33] <mediaprophet>	We haven't listed a liason relationship with that group in the Web Payments IG charter: http://www.w3.org/2014/04/payments/webpayments_charter.html
[Wed 10:25:50] <m4nu>	dlongley: Not in that language, but there is a section on identity there.
[Wed 10:26:12] <mediaprophet>	Well, it's listed here, but not in the charter: https://docs.google.com/drawings/d/1H3guwrrYZALQR91iB7QzN1n4ViUnIKgVT6bZiRuyenI/edit
[Wed 10:26:13] <m4nu>	dlongley: There is a section on reviewing identity systems, see if new technology needs to be created, it's essentially what the Credentials CG is working on.
[Wed 10:27:03] <dlongley>	mediaprophet: the Credentials CG is not in the liaison section.
[Wed 10:27:03] <dlongley>	dlongley: Oh, you're right.
[Wed 10:27:08] <dlongley>	m4nu: we should ping Stephane and get him to add it.
[Wed 10:27:23] <m4nu>	ACTION: Tim Holborn to contact Stephane Boyera about Credentials CG being added to Web Payments IG Charter.
[Wed 10:27:56] <m4nu>	Topic: Use Cases: Initiating Payments
[Wed 10:28:06] <m4nu>	https://www.w3.org/community/webpayments/wiki/UseCases#Initiating_Payments_.2F_Wallet_APIs
[Wed 10:29:05] <dlongley>	dlongley: right now we have - Use Case: A merchant advertises different details, such as price, for an offer of sale based on potential payment processor choice.
[Wed 10:29:22] <m4nu>	So feedback from Jorge: It makes a lot of sense, and it happens a lot in online games, but maybe it would be hard to define or predict 'potential choice' if the user is not even registered but just browsing several sites to compare prices and make an actual choice.
[Wed 10:30:16] <m4nu>	input from Michael Williams: the two above that allow the merchant to limit who can be a payment processor seems like it would kill any small payment processors. i'd like to see the ability to be your own payment processor as a use case. given that there still needs to be a trusted third party between merchant and buyer, maybe a middle ground is to allow the buyer to choose a major payment processor listed by the merchant as a trusted proxy for their preferred payment processor. inter-processor transactions seem to be supported: https://web-payments.org/specs/source/web-payments/#the-decentralized-settlement-process.
[Wed 10:31:01] <dlongley>	m4nu: let's take jorge's comment first
[Wed 10:32:07] <dlongley>	m4nu: jorge's primary concern here is that it becomes difficult for the customer to actually figure out what the actual price is before they start initiating the transaction, which is true, we could talk about the magical future where these offers are auto-processed by the browser and shows you prices specific to you, rather than a generalized price, so you see the full price (plus tax, etc) immediately
[Wed 10:33:50] <dlongley>	m4nu: there are two levels of addressing this problem, the first level is to not address his concern and say we're just talking about the merchant to be able to provide an offer for sale, it's just data, it's up to the user agent to figure out how to show it to the user, the other potential response is to say we've got offers on a page and we're thinking of writing another spec to indicate how browsers should display that information to a potential customer. I don't think we should do this, but for example, if Google knew who all your payment processors were then when you search it could show you a very customized search result for all the prices for you, etc. for example if you only pay in Bitcoin then everything you see in Google would be priced in Bitcoin, etc
[Wed 10:33:59] <dlongley>	m4nu: or if you did Bitcoin and yen you'd see prices in both
[Wed 10:34:06] <dlongley>	mediaprophet: is currency covered elsewhere?
[Wed 10:34:32] <dlongley>	mediaprophet: for example, what happens if the merchant is also the shipping company?
[Wed 10:35:04] <dlongley>	m4nu: the merchant can list multiple offers for sale, for example, if you're using payment processor X you get a discount, or it costs more, or the merchant can offer things for sale in yen and euro
[Wed 10:35:11] <dlongley>	mediaprophet: is there still an issue with chargebacks on paypal
[Wed 10:35:18] <dlongley>	m4nu: this use case isn't about chargebacks
[Wed 10:35:34] <dlongley>	mediaprophet: someone might try something high up? If the list of the merchants is incorrect?
[Wed 10:36:02] <dlongley>	m4nu: let's just take a credit card as an example. The merchant would price it higher because there might be chargebacks, vs. Bitcoin with a lower price/value exchange where there are no chargebacks.
[Wed 10:36:43] <m4nu>	dlongley: We should keep in mind that this may not work at all w/ credit cards (there are agreements that don't allow you to change price based on credit card)
[Wed 10:36:55] <dlongley>	mediaprophet: i'm not sure if you can separate what sort of instrument you're using
[Wed 10:37:13] <dlongley>	mediaprophet: is Paypal a different sort of financial instrument to a credit card vs. bitcoin?
[Wed 10:37:49] <dlongley>	mediaprophet: i'm not sure of the legalities of setting different prices
[Wed 10:38:22] <dlongley>	m4nu: There are agreements in the US where most merchants are not allowed to give discounts for cash if you also accept credit cards, it's in their credit card agreement. So burden is placed on the customer, if you pay for cash, you pay a higher price than if the credit card system didn't exist (in effect).
[Wed 10:39:31] <m4nu>	dlongley: There are also fights between different credit cards as well... for example AmEx may charge a different fee vs. Visa/Mastercard - different fee structures, it's a gray area.
[Wed 10:39:52] <dlongley>	mediaprophet: I think we should separate the technical problem from the business problem. We should be giving people a choice.
[Wed 10:40:19] <dlongley>	pindar: you've got to separate tech from business problems, this is very important in this case.
[Wed 10:40:40] <dlongley>	m4nu: i think you hit nail on the head Tim, we should provide the option, some countries will be able to use it others will not
[Wed 10:41:39] <mediaprophet>	+1
[Wed 10:42:35] <m4nu>	dlongley: I think all we can really do now is ensure that the information is available in the offer of sale. We don't know how the user agents are going to interface. As long as the offers are in a standard format, that's what we need.
[Wed 10:43:47] <m4nu>	dlongley: I think the PaySwarm specs already cover this right now - different offers can be made for different payment types. We're not going to be able to easily say we can support the "clients see prices specific to them", we don't want merchants to shotgun prices all over their pages (visible to people). I'm in agreement, we can only put the information in the offer right now.
[Wed 10:44:19] <m4nu>	dlongley: I don't think we're going to satisfactorily respond to Jorge's feedback. There are two ways to respond to this - we can't really respond to this, it's not something we can do in the first version.
[Wed 10:44:37] <dlongley>	m4nu: if we wanted to do something about this it requires a pretty nasty stack of software to do it
[Wed 10:45:13] <dlongley>	m4nu: there are multiple ways this could work. The assumption that Jorge is making here is that the merchant is not going to have any sort of information on the customer so they won't be able to show them a price that is custom tailored to them, they won't see that price until they click the buy button. I think that's a perfectly reasonable assumption to make.
[Wed 10:45:30] <dlongley>	m4nu: if we assume the merchant knows nothing about the customer, then the smarts have to be built into the customer's software.
[Wed 10:45:42] <dlongley>	m4nu: if we are going to do that, then we have to create some kind of price-fetching API that links to your payment processor
[Wed 10:46:05] <dlongley>	m4nu: or we have to say that this piece of information on the page is a variable and here is the offer and hand that to the user agent to let them calculate it and put it on the page
[Wed 10:47:03] <dlongley>	m4nu: so i think the response to Jorge is: Yes, this is a problem, we do just fine today without giving the customer an exact price before going to their payment processor. It doesn't change the state of things (status quo), but in the future, once there are these offers on the page we can figure out some way to link what's on the page to the offers that are embedded on them.
[Wed 10:47:12] <dlongley>	m4nu: but that's a whole other spec and i don't think it's something we want to do
[Wed 10:48:18] <m4nu>	dlongley: In the meantime, browsers might do that automatically. Browsers could take the information and show the price.
[Wed 10:48:31] <dlongley>	dlongley: We already have this built into the Payswarm specs. You can request a quote from your payment processor, but we'd need more to interface w/ a user agent (browser).
[Wed 10:48:35] <dlongley>	m4nu: Yeah, you'd need a whole API for displaying prices on a page given the customer's payment processor information.
[Wed 10:48:48] <dlongley>	m4nu: the thing we want to focus on is the expression of the linked data offer so we can focus on that in the future
[Wed 10:50:11] <dlongley>	Evgeny: This is really about looking for a description of a product for sale. The offer - a few things can be added to it, taxes, shipping fees and so on, discounts based on payments processors, etc. It's not about finding the optimal offer just about describing the discount/offer. It is only about adding a few more lines to an offer, not complicated in the general case.
[Wed 10:50:59] <dlongley>	m4nu: I think that's exactly right, we don't want to get into the technical details of it now, like does a merchant create multiple offers or just one offer with all of the possible options in it? Does the offer contain a coupon code, etc. all that, we're talking about a data expression problem not a UI problem and I think Jorge is concerned about the UI problem.
[Wed 10:51:12] <dlongley>	mediaprophet: what if the payment processor was also a shipping company.
[Wed 10:51:46] <dlongley>	mediaprophet: rather than getting the product shipped by the merchant and the payer gets it shipped by the payment processor for the same txn. That perhaps wouldn't happen at all if we weren't able to offer this functionality?
[Wed 10:51:54] <dlongley>	mediaprophet: This is all non-trivial work, we could have an entire Working Group focused on just product offers.
[Wed 10:52:11] <dlongley>	m4nu: everything we're discussing revolves around the ability to express different offers, i think the use case needs to change at this point
[Wed 10:52:24] <dlongley>	m4nu: I think the use case is about more than being able to just list different prices based on payment processor
[Wed 10:53:06] <dlongley>	m4nu: I think we're really talking about parametric offers, you pay different prices based on discounts, shipping, a whole host of things, a merchant provides different offers based on discount codes, payment processor choice, etc.
[Wed 10:53:28] <dlongley>	mediaprophet: parametric pricing is a fantastic term. This is a whole field, this would indicate it's non-trivial work.
[Wed 10:53:52] <dlongley>	m4nu: we need to be careful not to let this distract us, we could spend months on it, we just want to figure out the first set of parameters we want to support and expand later.
[Wed 10:54:13] <dlongley>	pindar: Could we do it the other direction, for example a Bid?
[Wed 10:54:51] <dlongley>	m4nu: yeah, we've discussed this smart contract stuff before. It's something big happening in the cryptocurrency space now. We haven't spec'd any of that out yet, it's a different negotiation process, a different payment flow.
[Wed 10:54:53] <dlongley>	m4nu: Basically, an Offer is something a merchant puts on their site. A Bid is something a person puts on their blog. Then, for example, Google or Yandex could come along, get all the Bids and match them up to offers. You could also transmit a bid to a decentralized network of sorts.  This all falls under "smart contract" territory, which is fairly new, and we should wait for the dust to settle there before trying to standardize on anything.
[Wed 10:55:12] <dlongley>	m4nu: The whole bit about finding all the bids and offers is probably a version 2 thing.
[Wed 10:55:39] <dlongley>	m4nu: you at least need an Offer mechanism for that to happen. Someone places a bid on internet/web and someone makes an offer and sends directly to the software agent operating on behalf of the person.
[Wed 10:55:49] <dlongley>	m4nu: for the bidding process to happen you need a functioning offer process
[Wed 10:56:34] <dlongley>	pindar: got it
[Wed 10:56:40] <m4nu>	dlongley: Another way to look at it is that a bid may just end up being a counter-offer. The merchant's software could accept that and match it up to their offer and accept.
[Wed 10:57:04] <dlongley>	mediaprophet: where do we mention v2 use cases?
[Wed 10:57:07] <dlongley>	m4nu: we have a section on the wiki for it, at the bottom.
[Wed 10:57:28] <dlongley>	m4nu: i'll try to add all this stuff (add v2 use cases) and modify the use case to talk about parametric offers.
[Wed 11:01:06] <mediaprophet>	Assessability and what is required for that is important - what's the value of the bid.
[Wed 11:01:06] <m4nu>	Let's chat quickly about Michael William's concern, that this favors large payment processors. He's right, it does right now and we don't have a clear solution. We did start PaySwarm out by saying that there would be a decentralized clearing process. The banks aren't interested in that part of the work, as far as we can tell. Just look at the trouble that Ripple and Bitcoin are facing when it comes to adoption at big banks - we all know that sort of stuff is the future, but if we threw decentralized clearing into this, it would probably not fly. So, we need a way for small payment processors to compete, but how do merchants accept payments from small payment processors? How do they trust that their money is there? Ultimately, I think we're going to have to have some decentralized payment system as an option for the smaller players. So, you either trust the top 10 payment processor digital signatures on the digital receipts, or you can trust a small payment processor digital signature because you can check to see that the payment went through almost immediately via some decentralized query. The question is, is there a body that ensure that these small payment processors are liquid? How do you stop bad players, companies that go bankrupt? So, there is a big policy side to this discussion, and right now, we don't have a good answer for Michael other than "We know this is a problem, we will have failed if we don't increase competition in the space." We'll have to start a discussion around this on the mailing list.
[Wed 11:02:42] <dlongley>	manu: That's it for the call today, the call for next week is canceled. We'll start again the week of September 9th.
[Wed 11:02:42] <pindarhk>	Thanks everyone!
